Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,10300.0,72.28,0
1,Damian Lillard,PG,POR,10200.0,52.84,0
2,Maurice Harkless,SF,POR,5100.0,45.36,0
3,JJ Redick,SF,PHI,4400.0,39.3,0
4,Paul Millsap,PF,DEN,4900.0,38.68,0
5,Tobias Harris,PF,PHI,8500.0,37.3,0
6,Pascal Siakam,PF,TOR,8500.0,37.3,0
7,Kyle Lowry,PG,TOR,7500.0,36.82,0
8,Nikola Jokic,C1B,DEN,11800.0,36.16,0
9,Jamal Murray,PG,DEN,7800.0,35.84,0
10,Jimmy Butler,SG,PHI,7400.0,35.12,0
11,CJ McCollum,SG,POR,7700.0,34.78,0
12,Al-Farouq Aminu,PF,POR,4900.0,33.72,0
13,Ben Simmons,PG,PHI,8800.0,30.78,0
14,Gary Harris,SG,DEN,5100.0,29.92,0
15,Danny Green,SG,TOR,4400.0,21.22,0
16,Fred VanVleet,PG,TOR,3800.0,20.1,0
17,Serge Ibaka,PF,TOR,5100.0,19.2,0
18,Enes Kanter,C1B,POR,7000.0,16.86,0
19,Torrey Craig,SG,DEN,4500.0,14.62,0
20,Marc Gasol,C1B,TOR,5400.0,14.29,0
21,Joel Embiid,C1B,PHI,10600.0,13.32,0
22,Will Barton,SF,DEN,4100.0,12.58,0
23,Rodney Hood,SF,POR,3500.0,12.2,0
24,Norman Powell,SF,TOR,3900.0,11.86,0
25,Malik Beasley,SG,DEN,3700.0,11.14,0
26,Mike Scott,PF,PHI,3600.0,10.78,0
27,Boban Marjanovic,C1B,PHI,4000.0,10.21,0
28,James III,SF,PHI,3500.0,10.06,0
29,Greg Monroe,C1B,PHI,3700.0,9.61,0
30,Zach Collins,PF,POR,3600.0,9.14,0
31,Monte Morris,SG,DEN,3800.0,9.04,0
32,Mason Plumlee,C1B,DEN,4100.0,6.24,0
33,TJ McConnell,PG,PHI,3500.0,4.7,0
34,Seth Curry,PG,POR,3500.0,4.3,0
35,Jonah Bolden,PF,PHI,3500.0,3.88,0
36,Evan Turner,SF,POR,3500.0,3.82,0
37,Furkan Korkmaz,SG,PHI,3500.0,3.62,0
38,Meyers Leonard,PF,POR,3500.0,3.42,0
