Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,10500.0,85.9,0
1,Paul Millsap,PF,DEN,8100.0,52.08,0
2,Jamal Murray,PG,DEN,8200.0,44.56,0
3,JJ Redick,SF,PHI,4300.0,42.94,0
4,Jimmy Butler,SG,PHI,9800.0,42.78,0
5,Nikola Jokic,C1B,DEN,11200.0,42.41,0
6,Gary Harris,SG,DEN,5800.0,41.52,0
7,Damian Lillard,PG,POR,9500.0,40.56,0
8,Kyle Lowry,PG,TOR,7300.0,40.3,0
9,Al-Farouq Aminu,PF,POR,5400.0,37.82,0
10,Pascal Siakam,PF,TOR,7700.0,36.92,0
11,Tobias Harris,SF,PHI,7600.0,30.72,0
12,CJ McCollum,SG,POR,7500.0,30.0,0
13,Danny Green,SG,TOR,4900.0,24.04,0
14,Serge Ibaka,PF,TOR,4600.0,22.38,0
15,Ben Simmons,PG,PHI,7400.0,22.32,0
16,Fred VanVleet,PG,TOR,3500.0,22.2,0
17,Maurice Harkless,SF,POR,4100.0,20.58,0
18,Rodney Hood,SF,POR,4400.0,19.54,0
19,Marc Gasol,C1B,TOR,5500.0,18.97,0
20,Malik Beasley,SG,DEN,3900.0,18.72,0
21,Zach Collins,PF,POR,4400.0,18.32,0
22,James III,SF,PHI,4300.0,14.9,0
23,Will Barton,SF,DEN,4600.0,14.1,0
24,Joel Embiid,C1B,PHI,10200.0,13.73,0
25,Seth Curry,PG,POR,3900.0,12.1,0
26,Torrey Craig,SG,DEN,3800.0,11.84,0
27,Enes Kanter,C1B,POR,6300.0,11.16,0
28,Mason Plumlee,PF,DEN,4400.0,10.46,0
29,Mike Scott,PF,PHI,3500.0,9.24,0
30,Monte Morris,SG,DEN,3500.0,7.06,0
31,Norman Powell,SF,TOR,3500.0,6.62,0
32,Evan Turner,SF,POR,3500.0,5.5,0
33,Boban Marjanovic,C1B,PHI,3500.0,5.29,0
34,Meyers Leonard,PF,POR,3500.0,2.38,0
35,Greg Monroe,C1B,PHI,3500.0,2.1,0
