Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Ivica Zubac,C1B,LAL,6500.0,32.64,14.0,-1.0
1,Draymond Green,PF,GS,7100.0,31.56,41.7,0.8
2,Kevin Durant,SF,GS,10500.0,31.24,58.5,2.1
3,James Harden,SG,HOU,12500.0,30.62,53.4,2.8
4,De'Aaron Fox,PG,SAC,8500.0,30.26,45.8,-1.0
5,Buddy Hield,SG,SAC,7200.0,30.1,22.0,1.7
6,Nemanja Bjelica,SF,SAC,5500.0,29.32,31.7,-1.0
7,Kyrie Irving,PG,BOS,9300.0,28.5,49.3,2.0
8,Emmanuel Mudiay,PG,NY,5800.0,27.72,28.6,-1.0
9,Stephen Curry,PG,GS,9700.0,27.68,50.5,2.1
10,Giannis Antetokounmpo,SF,MIL,12000.0,27.52,68.8,2.8
11,Noah Vonleh,PF,NY,6100.0,26.8,38.6,1.0
12,Kevin Knox,PF,NY,6000.0,20.46,21.2,-1.0
13,Enes Kanter,C1B,NY,5900.0,18.16,16.0,-1.0
14,Kyle Kuzma,PF,LAL,6700.0,18.02,43.8,1.7
15,Damian Lillard,PG,POR,8900.0,15.96,31.7,2.2
16,Joel Embiid,C1B,PHI,10500.0,15.39,61.0,2.7
17,Ricky Rubio,PG,UTA,7000.0,15.36,15.0,1.5
18,Ben Simmons,PG,PHI,9300.0,14.84,52.8,1.9
19,Daniel Theis,PF,BOS,4000.0,14.7,16.8,-1.0
20,PJ Tucker,PF,HOU,4800.0,14.48,0.0,-1.0
21,Jimmy Butler,SG,PHI,8000.0,14.16,30.7,-1.0
22,Brandon Ingram,SF,LAL,6400.0,14.12,32.6,-1.0
23,Lonzo Ball,PG,LAL,6000.0,13.5,55.8,-1.0
24,Klay Thompson,SG,GS,6900.0,12.52,38.6,-1.0
25,Eric Gordon,SG,HOU,6300.0,12.24,32.8,-1.0
26,Khris Middleton,SG,MIL,7300.0,12.14,37.7,1.7
27,Austin Rivers,SG,HOU,3600.0,11.94,20.3,-1.0
28,Eric Bledsoe,PG,MIL,7200.0,11.64,20.0,-1.0
29,Jayson Tatum,PF,BOS,7000.0,11.5,12.6,1.4
