Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Anthony Davis,PF,NO,12200.0,22.42,64.2,2.8
1,Giannis Antetokounmpo,SF,MIL,11400.0,17.88,71.7,2.8
2,Devin Booker,SG,PHO,7900.0,16.56,37.4,-1.0
3,Derrick Rose,PG,MIN,6400.0,15.84,32.8,-1.0
4,TJ Warren,SF,PHO,7000.0,14.12,29.3,-1.0
5,Blake Griffin,PF,DET,9200.0,13.38,47.2,2.0
6,Tyreke Evans,SF,IND,5800.0,12.94,21.1,-1.0
7,Kevin Durant,SF,GS,10700.0,12.14,51.3,2.2
8,Dennis Schroder,SG,OKC,6000.0,11.82,0.0,1.7
9,LeBron James,SF,LAL,11500.0,11.24,58.3,2.8
10,Pascal Siakam,PF,TOR,7500.0,11.16,34.8,1.6
11,Paul George,SF,OKC,8900.0,11.14,46.3,2.8
12,Kemba Walker,PG,CHA,9300.0,11.02,35.9,1.7
13,Ed Davis,PF,BKN,4000.0,10.8,31.3,-1.0
14,Jeff Teague,PG,MIN,6600.0,10.66,24.4,-1.0
15,Taj Gibson,PF,MIN,4800.0,10.54,13.3,-1.0
16,Lonzo Ball,PG,LAL,5600.0,10.46,32.4,-1.0
17,Damian Lillard,PG,POR,9400.0,9.96,36.3,2.1
18,LaMarcus Aldridge,PF,SA,8000.0,9.9,41.2,-1.0
19,Serge Ibaka,PF,TOR,7100.0,9.48,27.3,1.7
20,DeMar DeRozan,SG,SA,8700.0,9.4,35.5,-1.0
21,CJ McCollum,SG,POR,6700.0,9.24,28.7,1.7
22,Karl-Anthony Towns,C1B,MIN,10000.0,8.71,27.4,2.0
23,Collin Sexton,PG,CLE,6000.0,8.68,18.6,-1.0
24,Jrue Holiday,SG,NO,8800.0,8.6,53.8,2.2
25,Paul Millsap,PF,DEN,5900.0,8.58,48.0,1.5
26,Kyrie Irving,PG,BOS,9000.0,8.56,58.7,2.1
27,Larry Jr,PF,CLE,6000.0,8.14,0.0,1.3
28,Russell Westbrook,PG,OKC,11000.0,7.82,48.7,2.8
29,Domantas Sabonis,PF,IND,7100.0,7.58,23.2,1.7
30,Emmanuel Mudiay,PG,NY,3900.0,7.56,12.4,-1.0
