Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Jabari Parker,SF,WAS,5400.0,24.86,36.3,-1.0
1,LeBron James,SF,LAL,12000.0,21.26,62.2,2.8
2,Chris Paul,PG,HOU,8700.0,16.66,36.8,-1.0
3,Kent Bazemore,SG,ATL,5500.0,16.54,12.0,1.4
4,Bradley Beal,SG,WAS,9900.0,15.02,44.4,2.2
5,Kevin Durant,SF,GS,9600.0,14.98,46.5,2.2
6,Stephen Curry,PG,GS,9300.0,14.28,34.2,2.2
7,DeMar DeRozan,SG,SA,8400.0,12.48,48.6,-1.0
8,Trae Young,PG,ATL,8400.0,11.58,57.6,-1.0
9,Kyle Kuzma,PF,LAL,6700.0,11.36,33.0,1.7
10,Lauri Markkanen,PF,CHI,9400.0,10.92,0.0,-1.0
11,Eric Bledsoe,PG,MIL,6800.0,10.6,58.9,-1.0
12,Khris Middleton,SG,MIL,6900.0,10.5,40.7,1.7
13,James Harden,SG,HOU,12000.0,9.82,52.1,2.7
14,Giannis Antetokounmpo,SF,MIL,12100.0,9.64,33.4,2.8
15,Bobby Portis,PF,WAS,7000.0,9.54,31.9,-1.0
16,Blake Griffin,PF,DET,8900.0,9.42,34.9,2.2
17,Taj Gibson,PF,MIN,4000.0,9.4,21.8,-1.0
18,Marcus Morris,PF,BOS,5000.0,9.2,16.9,-1.0
19,Cheick Diallo,PF,NO,5100.0,9.04,13.6,-1.0
20,Derrick Rose,PG,MIN,5800.0,8.9,34.2,-1.0
21,Karl-Anthony Towns,C1B,MIN,11200.0,8.89,68.1,2.2
22,Zach LaVine,SG,CHI,8000.0,8.86,45.0,-1.0
23,Ricky Rubio,PG,UTA,7000.0,8.82,25.1,1.4
24,Josh Richardson,SF,MIA,6400.0,8.56,33.5,1.5
25,Brandon Ingram,SF,LAL,6900.0,8.16,39.2,-1.0
26,Jaylen Brown,SG,BOS,4900.0,7.94,25.5,-1.0
27,Nikola Mirotic,SF,MIL,5500.0,7.84,41.1,-1.0
28,Kyrie Irving,PG,BOS,9800.0,7.84,40.5,2.3
29,Delon Wright,SG,MEM,5400.0,7.78,16.8,-1.0
30,DeAndre' Bembry,SF,ATL,4000.0,7.62,42.8,-1.0
31,Danilo Gallinari,SF,LAC,6800.0,7.6,30.5,1.7
32,Dario Saric,PF,MIN,4500.0,7.48,0.0,-1.0
33,Joakim Noah,C1B,MEM,5700.0,7.46,31.3,-1.0
34,Justise Winslow,SF,MIA,6200.0,7.24,31.7,1.5
35,Darren Collison,PG,IND,6800.0,7.16,21.2,1.3
36,Luol Deng,SF,MIN,3900.0,7.02,4.2,-1.0
37,Buddy Hield,SG,SAC,6900.0,7.0,51.7,1.7
38,Jahlil Okafor,C1B,NO,4000.0,6.96,2.4,-1.0
39,De'Aaron Fox,PG,SAC,7700.0,6.86,39.7,-1.0
40,Chasson Randle,SG,WAS,3500.0,6.82,8.5,-1.0
41,Kelly Olynyk,PF,MIA,5500.0,6.82,27.0,-1.0
42,Julius Randle,PF,NO,8100.0,6.74,50.7,-1.0
