Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,10000.0,50.98,0
1,Damian Lillard,PG,POR,9700.0,33.46,0
2,Paul Millsap,PF,DEN,6900.0,33.14,0
3,Kevin Durant,SF,GS,10500.0,32.8,0
4,Jimmy Butler,SG,PHI,8900.0,29.92,0
5,James Harden,SG,HOU,11200.0,29.68,0
6,JJ Redick,SF,PHI,4500.0,29.52,0
7,Pascal Siakam,PF,TOR,8500.0,26.94,0
8,Jamal Murray,PG,DEN,7400.0,26.82,0
9,Klay Thompson,SG,GS,6500.0,26.62,0
10,Al-Farouq Aminu,PF,POR,5300.0,26.58,0
11,Nikola Jokic,C1B,DEN,10600.0,25.1,0
12,Stephen Curry,PG,GS,9000.0,24.74,0
13,Kyle Lowry,PG,TOR,7200.0,24.3,0
14,PJ Tucker,PF,HOU,5900.0,24.08,0
15,Chris Paul,PG,HOU,8300.0,23.98,0
16,Gary Harris,SG,DEN,5000.0,23.58,0
17,Maurice Harkless,SF,POR,4300.0,23.1,0
18,Andre Iguodala,SG,GS,5700.0,22.3,0
19,Tobias Harris,PF,PHI,7600.0,21.12,0
20,Draymond Green,PF,GS,8200.0,19.94,0
21,Kevon Looney,PF,GS,3900.0,18.2,0
22,Ben Simmons,PG,PHI,8600.0,18.1,0
23,CJ McCollum,SG,POR,7100.0,16.98,0
24,Eric Gordon,SG,HOU,5200.0,16.84,0
25,Fred VanVleet,PG,TOR,3900.0,15.12,0
26,Andrew Bogut,C1B,GS,4000.0,14.04,0
27,Rodney Hood,SF,POR,4500.0,13.74,0
28,Malik Beasley,SG,DEN,4400.0,12.6,0
29,Danny Green,SG,TOR,4100.0,12.24,0
30,Serge Ibaka,PF,TOR,4500.0,11.98,0
31,Joel Embiid,C1B,PHI,11500.0,11.27,0
32,Enes Kanter,C1B,POR,7600.0,10.54,0
33,Danuel House,SF,HOU,3600.0,10.48,0
34,Torrey Craig,SG,DEN,3900.0,9.98,0
35,Kenneth Faried,PF,HOU,3600.0,9.9,0
36,Marc Gasol,C1B,TOR,5600.0,9.34,0
37,Clint Capela,C1B,HOU,7500.0,8.41,0
38,James III,SF,PHI,4700.0,8.26,0
39,Zach Collins,PF,POR,3700.0,8.24,0
40,Norman Powell,SF,TOR,3800.0,7.2,0
41,Will Barton,SF,DEN,4000.0,6.9,0
42,Boban Marjanovic,C1B,PHI,4000.0,6.74,0
43,Mike Scott,PF,PHI,3600.0,5.8,0
44,Monte Morris,SG,DEN,3500.0,5.78,0
45,Mason Plumlee,C1B,DEN,5100.0,5.49,0
46,Shaun Livingston,PG,GS,3500.0,4.3,0
47,Gerald Green,SF,HOU,3500.0,3.58,0
48,Seth Curry,PG,POR,3500.0,3.52,0
49,Austin Rivers,SG,HOU,3600.0,3.28,0
50,Greg Monroe,C1B,PHI,3800.0,3.22,0
51,Evan Turner,SF,POR,3900.0,3.16,0
52,Jonah Bolden,PF,PHI,3500.0,2.5,0
53,Alfonzo McKinnie,SF,GS,3500.0,2.18,0
54,Furkan Korkmaz,SG,PHI,3500.0,2.12,0
55,TJ McConnell,PG,PHI,3500.0,1.88,0
56,Nene Nene,C1B,HOU,3700.0,1.55,0
