Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Nikola Mirotic,SF,MIL,5200.0,65.8,0
1,Kawhi Leonard,SF,TOR,10500.0,59.42,0
2,Giannis Antetokounmpo,SF,MIL,12000.0,57.2,0
3,Stephen Curry,PG,GS,9800.0,57.04,0
4,Kyle Lowry,PG,TOR,7500.0,42.54,0
5,Draymond Green,PF,GS,8600.0,41.8,0
6,CJ McCollum,SG,POR,8400.0,39.4,0
7,Serge Ibaka,PF,TOR,4600.0,36.74,0
8,Klay Thompson,SG,GS,7800.0,35.48,0
9,Pascal Siakam,PF,TOR,7300.0,33.04,0
10,Danny Green,SG,TOR,4400.0,32.38,0
11,Kevon Looney,PF,GS,4600.0,31.78,0
12,Damian Lillard,PG,POR,9300.0,30.12,0
13,Zach Collins,PF,POR,5000.0,29.16,0
14,Eric Bledsoe,PG,MIL,5100.0,27.36,0
15,Ersan Ilyasova,PF,MIL,4200.0,26.52,0
16,Marc Gasol,C1B,TOR,5700.0,25.7,0
17,Seth Curry,PG,POR,3800.0,25.54,0
18,Khris Middleton,SG,MIL,7200.0,25.24,0
19,Al-Farouq Aminu,PF,POR,4000.0,25.18,0
20,George Hill,PG,MIL,5400.0,24.98,0
21,Maurice Harkless,SF,POR,4500.0,21.8,0
22,Andre Iguodala,SG,GS,6500.0,21.14,0
23,Brook Lopez,C1B,MIL,4900.0,19.31,0
24,Pat Connaughton,SG,MIL,5000.0,18.16,0
25,Malcolm Brogdon,SG,MIL,5100.0,18.12,0
26,Rodney Hood,SF,POR,4900.0,17.6,0
27,Fred VanVleet,PG,TOR,3500.0,15.76,0
28,Enes Kanter,C1B,POR,5300.0,14.73,0
29,Evan Turner,SF,POR,4100.0,8.4,0
30,Shaun Livingston,PG,GS,3600.0,6.82,0
31,Jonas Jerebko,PF,GS,3500.0,6.18,0
32,Norman Powell,SF,TOR,3500.0,5.64,0
33,Meyers Leonard,PF,POR,3500.0,3.62,0
34,Andrew Bogut,C1B,GS,3500.0,3.13,0
35,Alfonzo McKinnie,SF,GS,3500.0,2.9,0
36,Jordan Bell,C1B,GS,3600.0,2.01,0
