Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,De'Aaron Fox,PG,SAC,6600.0,57.64,43.8,-1.0
1,Taurean Prince,SF,ATL,7200.0,52.98,29.7,-1.0
2,Dennis Schroder,SG,OKC,7000.0,50.56,0.0,1.7
3,Paul George,SF,OKC,9200.0,49.2,44.2,2.8
4,James Harden,SG,HOU,11700.0,39.02,59.8,2.9
5,Nikola Jokic,C1B,DEN,9600.0,31.33,43.2,2.0
6,Trae Young,PG,ATL,6100.0,29.88,55.9,-1.0
7,Stephen Curry,PG,GS,9800.0,29.38,41.8,2.0
8,Jamal Murray,PG,DEN,5800.0,27.38,8.4,1.7
9,Montrezl Harrell,PF,LAC,4500.0,27.02,43.5,1.7
10,Kevin Love,PF,CLE,8100.0,24.12,40.9,-1.0
11,Cedi Osman,SF,CLE,6700.0,22.98,22.6,-1.0
12,Nemanja Bjelica,SF,SAC,5200.0,22.04,35.0,-1.0
13,Kevin Durant,SF,GS,10400.0,22.02,45.7,2.0
14,Draymond Green,PF,GS,7400.0,20.84,16.0,1.0
15,James III,SF,HOU,3700.0,19.4,0.0,0.0
16,Alex Len,C1B,ATL,5400.0,17.96,46.2,1.6
17,PJ Tucker,PF,HOU,4900.0,17.64,0.0,-1.0
18,Kevon Looney,PF,GS,4100.0,16.72,22.7,-1.0
19,Tobias Harris,PF,LAC,8200.0,16.36,27.3,-1.0
20,Eric Gordon,SG,HOU,5700.0,16.26,33.0,-1.0
21,Andre Iguodala,SG,GS,4100.0,15.82,16.1,-1.0
22,Buddy Hield,SG,SAC,6500.0,15.56,24.0,1.7
23,George Hill,PG,CLE,5600.0,15.1,22.5,-1.0
24,Danilo Gallinari,SF,LAC,6500.0,14.46,37.8,1.6
25,Tristan Thompson,C1B,CLE,4400.0,14.04,28.3,-1.0
26,Carmelo Anthony,SF,HOU,4800.0,13.32,16.7,-1.0
27,Larry Jr,SF,CLE,5700.0,12.92,0.0,1.3
28,Yogi Ferrell,PG,SAC,3800.0,11.82,18.8,-1.0
29,Lou Williams,SG,LAC,6200.0,11.52,25.0,1.8
30,Gary Harris,SG,DEN,6000.0,10.96,42.1,-1.0
31,Paul Millsap,PF,DEN,7300.0,10.8,24.7,1.4
32,DeAndre' Bembry,SF,ATL,3900.0,10.52,23.1,-1.0
33,Kent Bazemore,SG,ATL,5900.0,9.98,39.0,1.4
34,Jerami Grant,PF,OKC,4800.0,9.94,20.1,-1.0
35,Marvin III,PF,SAC,4200.0,9.84,20.4,1.6
36,Patrick Patterson,PF,OKC,3600.0,9.72,12.4,-1.0
37,Gerald Green,SF,HOU,3700.0,9.68,15.3,-1.0
38,Klay Thompson,SG,GS,6300.0,9.06,26.4,-1.0
39,Willie Cauley-Stein,C1B,SAC,7600.0,8.6,26.4,1.2
40,Boban Marjanovic,C1B,LAC,4000.0,8.03,5.2,-1.0
41,Steven Adams,C1B,OKC,7500.0,7.51,38.8,1.3
42,Damian Jones,C1B,GS,4600.0,6.75,13.9,-1.0
43,Clint Capela,C1B,HOU,6800.0,6.4,45.7,-1.0
44,Russell Westbrook,PG,OKC,12500.0,6.34,53.4,2.8
45,Nerlens Noel,C1B,OKC,4000.0,5.85,18.0,-1.0
46,Jordan Bell,C1B,GS,4000.0,5.84,2.0,-1.0
47,Frank Mason,SG,SAC,3800.0,5.08,0.0,0.0
48,Rodney Hood,SG,CLE,4900.0,4.8,20.1,-1.0
49,Iman Shumpert,SG,SAC,3600.0,4.7,48.6,-1.0
50,Torrey Craig,SG,DEN,3500.0,4.7,24.8,-1.0
51,Shai Gilgeous-Alexander,PG,LAC,4400.0,4.62,25.0,-1.0
52,Patrick Beverley,PG,LAC,5100.0,4.28,21.8,-1.0
53,Trey Lyles,PF,DEN,4700.0,4.24,23.3,-1.0
54,Justin Jackson,SF,SAC,4100.0,3.98,20.5,-1.0
55,Vince Carter,SG,ATL,3700.0,3.88,8.0,-1.0
56,Alex Poythress,PF,ATL,3900.0,3.74,14.0,-1.0
57,Ben McLemore,SG,SAC,3600.0,3.5,1.5,-1.0
58,Malik Beasley,SG,DEN,3500.0,3.42,6.4,-1.0
59,Kevin Huerter,SG,ATL,3500.0,3.3,36.0,-1.0
60,Avery Bradley,SG,LAC,4400.0,3.26,12.7,-1.0
61,Jordan Clarkson,SG,CLE,4500.0,3.1,24.6,-1.0
62,Raymond Felton,PG,OKC,3800.0,2.92,0.0,0.0
63,Luc Moute,PF,LAC,3500.0,2.84,0.0,0.0
64,Jeremy Lin,PG,ATL,4300.0,2.68,0.2,-1.0
65,Harry III,PF,SAC,3500.0,2.52,26.2,-1.0
66,Terrance Ferguson,SG,OKC,3500.0,2.5,6.4,-1.0
67,Marcin Gortat,C1B,LAC,4300.0,2.39,19.0,-1.0
68,Sam Dekker,SF,CLE,3500.0,2.26,16.5,-1.0
69,Hamidou Diallo,SG,OKC,3500.0,2.22,20.2,-1.0
70,Omari Spellman,PF,ATL,3800.0,2.16,17.7,-1.0
71,Collin Sexton,PG,CLE,4200.0,2.12,7.4,-1.0
72,Ante Zizic,PF,CLE,3600.0,1.88,0.0,-1.0
73,Alex Abrines,SG,OKC,3700.0,1.68,0.0,-1.0
74,Quinn Cook,PG,GS,3500.0,1.14,0.0,-1.0
75,Michael Carter-Williams,PG,HOU,4000.0,1.08,14.1,-1.0
