Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,9900.0,76.46,0
1,Paul Millsap,PF,DEN,6900.0,49.72,0
2,Damian Lillard,PG,POR,9700.0,49.58,0
3,Jimmy Butler,SG,PHI,9400.0,44.88,0
4,JJ Redick,SF,PHI,4300.0,44.28,0
5,Jamal Murray,PG,DEN,7400.0,40.22,0
6,Al-Farouq Aminu,PF,POR,5300.0,39.88,0
7,Nikola Jokic,C1B,DEN,10600.0,37.65,0
8,Kyle Lowry,PG,TOR,7200.0,36.46,0
9,Gary Harris,SG,DEN,5000.0,35.38,0
10,Maurice Harkless,SF,POR,4500.0,34.64,0
11,Tobias Harris,PF,PHI,7500.0,31.68,0
12,Ben Simmons,PG,PHI,8200.0,27.16,0
13,CJ McCollum,SG,POR,7500.0,25.48,0
14,Rodney Hood,SF,POR,4600.0,20.6,0
15,Malik Beasley,SG,DEN,4400.0,18.92,0
16,Fred VanVleet,PG,TOR,3700.0,18.66,0
17,Danny Green,SG,TOR,4400.0,18.36,0
18,Serge Ibaka,PF,TOR,5000.0,17.98,0
19,Joel Embiid,C1B,PHI,11500.0,16.68,0
20,Enes Kanter,C1B,POR,7600.0,15.82,0
21,Torrey Craig,SG,DEN,3700.0,14.98,0
22,Marc Gasol,C1B,TOR,5600.0,14.01,0
23,James III,SF,PHI,4700.0,12.38,0
24,Zach Collins,PF,POR,4100.0,12.36,0
25,Norman Powell,SF,TOR,3600.0,10.8,0
26,Will Barton,SF,DEN,4600.0,10.36,0
27,Boban Marjanovic,C1B,PHI,3600.0,10.11,0
28,Mike Scott,PF,PHI,3500.0,8.68,0
29,Monte Morris,SG,DEN,3500.0,8.66,0
30,Mason Plumlee,C1B,DEN,4300.0,8.24,0
31,Seth Curry,PG,POR,3500.0,5.3,0
32,Greg Monroe,C1B,PHI,3700.0,4.83,0
33,Evan Turner,SF,POR,3600.0,4.74,0
34,Jonah Bolden,PF,PHI,3500.0,3.74,0
35,Meyers Leonard,PF,POR,3500.0,3.64,0
36,Furkan Korkmaz,SG,PHI,3500.0,3.18,0
37,TJ McConnell,PG,PHI,3500.0,2.82,0
