Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,James Harden,SG,HOU,13300.0,60.7,74.8,2.8
1,Anthony Davis,PF,NO,12700.0,47.72,82.2,2.9
2,Donovan Mitchell,SG,UTA,8800.0,27.58,39.0,-1.0
3,Royce O'Neale,SF,UTA,4900.0,21.8,10.4,-1.0
4,Kemba Walker,PG,CHA,8600.0,19.4,50.3,2.3
5,Jayson Tatum,PF,BOS,6000.0,18.58,56.5,1.5
6,Terry Rozier,PG,BOS,3900.0,16.92,19.3,-1.0
7,D'Angelo Russell,SG,BKN,7500.0,16.9,51.5,-1.0
8,Joe Ingles,SF,UTA,6300.0,15.66,25.8,-1.0
9,De'Aaron Fox,PG,SAC,8600.0,15.58,37.9,-1.0
10,Jaylen Brown,SG,BOS,4000.0,15.16,38.2,-1.0
11,Jae Crowder,SF,UTA,4800.0,14.54,5.5,-1.0
12,Austin Rivers,SG,HOU,4900.0,14.34,28.0,-1.0
13,Danilo Gallinari,SF,LAC,7300.0,14.18,40.8,1.7
14,Elfrid Payton,PG,NO,6200.0,13.84,22.7,-1.0
15,Damian Lillard,PG,POR,9400.0,13.24,43.1,2.2
16,Lou Williams,SG,LAC,6600.0,13.2,33.5,1.8
17,Marcus Morris,PF,BOS,5100.0,12.98,12.2,-1.0
18,Bogdan Bogdanovic,SG,SAC,6300.0,12.72,25.9,1.6
19,DeMar DeRozan,SG,SA,8900.0,12.62,24.5,-1.0
20,LaMarcus Aldridge,PF,SA,8600.0,12.24,52.0,-1.0
21,Blake Griffin,PF,DET,10100.0,12.1,31.8,2.1
22,Andre Drummond,C1B,DET,9500.0,11.76,41.1,1.7
23,Gerald Green,SF,HOU,4600.0,11.4,28.2,-1.0
24,Rudy Gobert,C1B,UTA,9500.0,11.25,57.5,1.8
25,Spencer Dinwiddie,PG,BKN,5700.0,10.48,12.2,1.5
26,Tobias Harris,PF,LAC,7600.0,10.3,34.7,-1.0
27,Davis Bertans,SF,SA,4400.0,10.3,23.2,-1.0
28,Derrick White,PG,SA,5900.0,9.82,36.3,-1.0
29,Gordon Hayward,SF,BOS,5200.0,9.76,9.3,1.2
30,Bryn Forbes,PG,SA,4700.0,9.52,19.7,-1.0
31,Devonte' Graham,PG,CHA,3800.0,9.38,6.0,-1.0
32,Nicolas Batum,SF,CHA,5500.0,9.22,20.1,-1.0
33,E'Twaun Moore,SF,NO,4200.0,8.72,15.3,-1.0
34,Rodions Kurucs,PF,BKN,4300.0,8.72,30.3,-1.0
35,Bismack Biyombo,C1B,CHA,4200.0,8.45,22.7,-1.0
36,Evan Turner,SF,POR,4500.0,8.36,24.4,-1.0
37,Reggie Jackson,PG,DET,5000.0,8.14,26.6,-1.0
38,Jaren Jr,PF,MEM,6500.0,8.08,0.0,-1.0
39,Julius Randle,C1B,NO,8100.0,7.44,41.7,-1.0
40,Marvin Williams,PF,CHA,5700.0,7.18,24.5,-1.0
41,PJ Tucker,PF,HOU,5200.0,6.76,0.0,-1.0
42,Derrick Favors,PF,UTA,6200.0,6.74,23.1,1.3
43,Jrue Holiday,SG,NO,8500.0,6.74,51.0,2.2
44,Nemanja Bjelica,SF,SAC,4500.0,6.7,19.2,-1.0
45,Montrezl Harrell,PF,LAC,7800.0,6.46,41.0,1.7
46,CJ McCollum,SG,POR,6900.0,6.36,14.7,1.7
47,Iman Shumpert,SG,SAC,3700.0,6.2,16.1,-1.0
48,Al-Farouq Aminu,PF,POR,5500.0,6.18,35.7,-1.0
49,Marc Gasol,C1B,MEM,7800.0,6.17,15.4,-1.0
50,Patty Mills,PG,SA,3700.0,6.16,16.9,-1.0
51,JaMychal Green,PF,MEM,4900.0,6.12,19.3,-1.0
52,Buddy Hield,SG,SAC,6500.0,6.04,26.4,1.7
53,Danuel House,SF,HOU,4600.0,6.0,21.3,-1.0
54,Mike Conley,PG,MEM,8300.0,5.96,30.9,-1.0
55,Jusuf Nurkic,C1B,POR,8800.0,5.9,28.7,-1.0
56,Jeremy Lamb,SG,CHA,5700.0,5.26,34.4,1.7
