Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Nikola Mirotic,SF,MIL,5200.0,70.22,0
1,Kawhi Leonard,SF,TOR,10500.0,62.28,0
2,Giannis Antetokounmpo,SF,MIL,12000.0,56.28,0
3,Stephen Curry,PG,GS,9500.0,47.82,0
4,CJ McCollum,SG,POR,8700.0,47.34,0
5,Kyle Lowry,PG,TOR,6900.0,42.58,0
6,Draymond Green,PF,GS,8400.0,40.56,0
7,Pascal Siakam,PF,TOR,7600.0,34.46,0
8,Serge Ibaka,PF,TOR,5100.0,33.4,0
9,Klay Thompson,SG,GS,7600.0,32.78,0
10,Zach Collins,PF,POR,5000.0,32.68,0
11,Damian Lillard,PG,POR,9300.0,31.12,0
12,Danny Green,SG,TOR,4700.0,30.16,0
13,Ersan Ilyasova,PF,MIL,4200.0,29.04,0
14,Al-Farouq Aminu,PF,POR,4300.0,28.02,0
15,Marc Gasol,C1B,TOR,5700.0,26.08,0
16,Eric Bledsoe,PG,MIL,5500.0,24.92,0
17,George Hill,PG,MIL,5000.0,23.68,0
18,Khris Middleton,SG,MIL,7500.0,23.24,0
19,Kevon Looney,PF,GS,4800.0,23.02,0
20,Andre Iguodala,SG,GS,6500.0,22.44,0
21,Seth Curry,PG,POR,3800.0,21.84,0
22,Maurice Harkless,SF,POR,4000.0,18.34,0
23,Fred VanVleet,PG,TOR,3500.0,17.72,0
24,Brook Lopez,C1B,MIL,4500.0,17.54,0
25,Pat Connaughton,SG,MIL,5000.0,16.28,0
26,Rodney Hood,SF,POR,4600.0,15.92,0
27,Enes Kanter,C1B,POR,5300.0,12.53,0
28,Evan Turner,SF,POR,4400.0,8.54,0
29,Shaun Livingston,PG,GS,3600.0,8.52,0
30,Norman Powell,SF,TOR,3500.0,5.58,0
31,Alfonzo McKinnie,SF,GS,3500.0,3.44,0
32,Meyers Leonard,PF,POR,3500.0,3.08,0
33,Andrew Bogut,C1B,GS,3500.0,2.99,0
34,Jonas Jerebko,PF,GS,3500.0,2.48,0
35,Jordan Bell,C1B,GS,3600.0,1.76,0
36,Malcolm Brogdon,SG,MIL,5100.0,1.7,0
