Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,11800.0,58.12,0
1,Kevin Durant,SF,GS,11000.0,48.74,0
2,James Harden,SG,HOU,11500.0,44.3,0
3,Kyrie Irving,PG,BOS,9400.0,43.38,0
4,Chris Paul,PG,HOU,8300.0,41.96,0
5,Nikola Mirotic,SF,MIL,4700.0,41.9,0
6,Draymond Green,PF,GS,8600.0,38.72,0
7,Jaylen Brown,SG,BOS,5700.0,38.52,0
8,PJ Tucker,PF,HOU,5800.0,35.82,0
9,Klay Thompson,SG,GS,7100.0,35.1,0
10,Eric Gordon,SG,HOU,5600.0,34.36,0
11,Stephen Curry,PG,GS,8900.0,33.98,0
12,Al Horford,C1B,BOS,6800.0,33.39,0
13,Andre Iguodala,SG,GS,6000.0,32.92,0
14,Jayson Tatum,PF,BOS,7000.0,31.56,0
15,Kevon Looney,PF,GS,3900.0,27.24,0
16,Gordon Hayward,SF,BOS,5400.0,26.64,0
17,Marcus Morris,PF,BOS,5900.0,26.56,0
18,Eric Bledsoe,PG,MIL,6600.0,25.84,0
19,Terry Rozier,PG,BOS,4300.0,24.94,0
20,Ersan Ilyasova,PF,MIL,4000.0,24.22,0
21,Khris Middleton,SG,MIL,7500.0,21.0,0
22,Brook Lopez,C1B,MIL,5000.0,17.34,0
23,George Hill,PG,MIL,4900.0,16.46,0
24,Clint Capela,C1B,HOU,7400.0,15.8,0
25,Pat Connaughton,SG,MIL,4900.0,13.52,0
26,Sterling Brown,SG,MIL,3700.0,12.94,0
27,Kenneth Faried,PF,HOU,3600.0,11.56,0
28,Andrew Bogut,C1B,GS,3800.0,10.99,0
29,Marcus Smart,SG,BOS,3500.0,8.86,0
30,Shaun Livingston,PG,GS,3600.0,8.76,0
31,Austin Rivers,SG,HOU,3900.0,7.56,0
32,Aron Baynes,C1B,BOS,3600.0,5.06,0
33,Gerald Green,SF,HOU,3500.0,4.58,0
34,Alfonzo McKinnie,SF,GS,3500.0,2.62,0
35,DJ Wilson,PF,MIL,3500.0,2.24,0
36,Nene Nene,C1B,HOU,3700.0,2.23,0
37,Daniel Theis,PF,BOS,3500.0,1.9,0
38,Iman Shumpert,SG,HOU,3500.0,1.2,0
