Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,12500.0,54.1,0
1,Nikola Mirotic,SF,MIL,4500.0,51.6,0
2,Kevin Durant,SF,GS,11000.0,46.62,0
3,Draymond Green,PF,GS,9000.0,45.16,0
4,James Harden,SG,HOU,11800.0,42.44,0
5,Kyrie Irving,PG,BOS,9800.0,41.74,0
6,Marcus Morris,PF,BOS,6500.0,40.24,0
7,Chris Paul,PG,HOU,8200.0,39.54,0
8,Al Horford,C1B,BOS,7500.0,36.75,0
9,PJ Tucker,PF,HOU,6700.0,34.94,0
10,Stephen Curry,PG,GS,8700.0,34.14,0
11,Jaylen Brown,SG,BOS,6300.0,33.94,0
12,Eric Gordon,SF,HOU,6100.0,33.18,0
13,Gordon Hayward,SF,BOS,5000.0,32.66,0
14,Jayson Tatum,PF,BOS,7600.0,31.86,0
15,Andre Iguodala,SG,GS,6200.0,31.14,0
16,Klay Thompson,SG,GS,7000.0,30.4,0
17,Terry Rozier,PG,BOS,3900.0,28.4,0
18,Ersan Ilyasova,PF,MIL,4400.0,27.96,0
19,Eric Bledsoe,PG,MIL,6200.0,25.28,0
20,Kevon Looney,PF,GS,3700.0,24.66,0
21,Marcus Smart,SG,BOS,4100.0,23.18,0
22,George Hill,PG,MIL,5400.0,22.74,0
23,Khris Middleton,SG,MIL,7400.0,20.0,0
24,Brook Lopez,C1B,MIL,4700.0,17.65,0
25,Clint Capela,C1B,HOU,7000.0,15.94,0
26,Pat Connaughton,SG,MIL,5300.0,13.08,0
27,Austin Rivers,SG,HOU,4400.0,10.86,0
28,Sterling Brown,SG,MIL,3500.0,10.44,0
29,Shaun Livingston,PG,GS,3500.0,9.9,0
30,Malcolm Brogdon,SG,MIL,5000.0,7.52,0
31,Aron Baynes,C1B,BOS,3500.0,4.84,0
32,Gerald Green,SF,HOU,3500.0,4.6,0
33,Andrew Bogut,C1B,GS,3500.0,3.82,0
34,Nene Nene,C1B,HOU,3500.0,2.87,0
35,Alfonzo McKinnie,SF,GS,3500.0,2.74,0
36,Iman Shumpert,SG,HOU,3500.0,2.26,0
37,Semi Ojeleye,SF,BOS,3500.0,1.08,0
