"","Rk","Player","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","Var.20","OWS","DWS","WS","WS.48","Var.25","OBPM","DBPM","BPM","VORP","links"
"15","15","Kyle Anderson","SF","25","MEM","43","1281","12.8",".569",".123",".232","4.1","18.1","11.0","15.0","2.1","2.7","16.0","12.6",NA,"0.8","1.8","2.7",".100",NA,"-2.1","3.3","1.2","1.0","/players/a/anderky01.html"
"16","16","Ryan Anderson","PF","30","TOT","25","322","4.6",".414",".580",".232","6.1","12.5","9.2","7.8","0.6","0.3","15.5","12.0",NA,"-0.3","0.0","-0.2","-0.035",NA,"-4.5","-2.0","-6.4","-0.4","/players/a/anderry01.html"
"17","16","Ryan Anderson","PF","30","PHO","15","278","4.6",".423",".567",".233","5.5","12.5","9.0","8.1","0.5","0.3","15.4","12.1",NA,"-0.2","0.0","-0.2","-0.039",NA,"-4.4","-2.1","-6.5","-0.3","/players/a/anderry01.html"
"18","16","Ryan Anderson","PF","30","MIA","10","44","4.5",".354",".667",".222","9.7","12.1","10.9","5.8","1.1","0.0","16.8","11.6",NA,"0.0","0.0","0.0","-0.009",NA,"-4.9","-0.8","-5.8","0.0","/players/a/anderry01.html"
"19","17","Ike Anigbogu","C","20","IND","3","6","-6.0",".000",".000",".000","18.9","36.2","27.7","19.4","0.0","14.8","25.0","29.1",NA,"-0.1","0.0","-0.1","-0.480",NA,"-22.5","8.5","-14.0","0.0","/players/a/anigbik01.html"
"20","18","Giannis Antetokounmpo","PF","24","MIL","72","2358","30.9",".644",".163",".550","7.3","30.0","19.3","30.3","1.8","3.9","14.8","32.3",NA,"8.9","5.5","14.4",".292",NA,"5.7","5.0","10.8","7.6","/players/a/antetgi01.html"
"21","19","Kostas Antetokounmpo","PF","21","DAL","2","11","-0.9",".210",".000","1.333","0.0","9.7","4.9","0.0","8.8","0.0","17.4","22.5",NA,"-0.1","0.0","-0.1","-0.247",NA,"-15.9","2.7","-13.3","0.0","/players/a/antetko01.html"
"22","20","Carmelo Anthony","PF","34","HOU","10","294","10.9",".513",".529",".182","3.3","17.3","10.2","2.6","0.7","2.0","5.8","20.5",NA,"0.1","0.2","0.3",".048",NA,"-3.1","-2.8","-5.9","-0.3","/players/a/anthoca01.html"
"24","21","OG Anunoby","SF","21","TOR","67","1352","9.8",".544",".500",".153","4.8","10.8","7.9","4.7","1.6","1.3","11.3","15.5",NA,"0.3","1.7","2.0",".070",NA,"-1.3","0.1","-1.2","0.3","/players/a/anunoog01.html"
"25","22","Ryan Arcidiacono","PG","24","CHI","81","1961","11.6",".588",".519",".244","1.5","10.8","6.1","18.9","1.6","0.2","12.0","11.7",NA,"2.8","0.9","3.7",".090",NA,"-0.1","-1.0","-1.0","0.5","/players/a/arcidry01.html"
"26","23","Trevor Ariza","SF","33","TOT","69","2349","12.0",".534",".590",".223","2.3","15.2","8.6","14.8","1.8","0.7","11.6","16.6",NA,"1.3","1.2","2.5",".052",NA,"-0.1","-0.4","-0.5","0.9","/players/a/arizatr01.html"
"27","23","Trevor Ariza","SF","33","PHO","26","884","10.5",".525",".612",".189","2.0","16.4","9.1","13.5","2.1","0.8","13.7","13.8",NA,"0.2","0.5","0.6",".035",NA,"-1.2","0.2","-1.0","0.2","/players/a/arizatr01.html"
"28","23","Trevor Ariza","SF","33","WAS","43","1465","13.0",".538",".580",".238","2.5","14.5","8.4","15.5","1.7","0.7","10.6","18.2",NA,"1.1","0.8","1.9",".062",NA,"0.6","-0.8","-0.2","0.7","/players/a/arizatr01.html"
"29","24","D.J. Augustin","PG","31","ORL","81","2269","15.7",".616",".459",".309","1.9","7.8","4.8","26.9","1.1","0.1","14.3","17.2",NA,"5.0","1.9","6.9",".146",NA,"1.7","-2.0","-0.3","1.0","/players/a/augusdj01.html"
"30","25","Deandre Ayton","C","20","PHO","71","2183","20.5",".608",".005",".217","11.1","26.1","18.5","9.6","1.3","2.6","11.7","21.2",NA,"4.1","1.7","5.8",".128",NA,"-0.1","0.2","0.2","1.2","/players/a/aytonde01.html"
"31","26","Dwayne Bacon","SG","23","CHO","43","759","11.7",".570",".339",".179","1.1","11.7","6.3","9.2","0.8","0.6","6.1","16.8",NA,"0.9","0.3","1.2",".073",NA,"-1.2","-2.4","-3.5","-0.3","/players/b/bacondw01.html"
"32","27","Marvin Bagley","PF","19","SAC","62","1567","18.9",".562",".136",".371","10.4","20.8","15.5","5.9","1.0","3.2","10.7","24.2",NA,"2.0","1.6","3.6",".110",NA,"-1.2","-0.7","-1.8","0.1","/players/b/baglema01.html"
"33","28","Ron Baker","SG","25","TOT","15","152","2.5",".309",".650",".300","0.7","7.1","3.8","12.8","1.9","0.6","18.1","7.8",NA,"-0.2","0.1","-0.1","-0.034",NA,"-5.9","-0.7","-6.6","-0.2","/players/b/bakerro01.html"
"34","28","Ron Baker","SG","25","NYK","11","107","4.4",".376",".563",".375","1.0","6.0","3.4","16.1","2.3","0.0","13.9","8.6",NA,"0.0","0.0","0.0",".002",NA,"-4.6","-1.4","-6.0","-0.1","/players/b/bakerro01.html"
"35","28","Ron Baker","SG","25","WAS","4","45","-2.0",".000","1.000",".000","0.0","9.8","4.8","5.1","1.1","1.9","33.3","5.7",NA,"-0.1","0.0","-0.1","-0.120",NA,"-8.8","0.8","-8.1","-0.1","/players/b/bakerro01.html"
"36","29","Wade Baldwin","PG","22","POR","16","94","1.3",".396",".273",".333","2.3","14.4","8.5","16.6","0.5","1.7","27.0","23.3",NA,"-0.4","0.1","-0.3","-0.153",NA,"-9.3","-1.4","-10.7","-0.2","/players/b/baldwwa01.html"
"37","30","Lonzo Ball","PG","21","LAL","47","1423","11.7",".487",".500",".105","4.0","14.0","9.1","23.8","2.3","1.1","17.8","16.9",NA,"-0.2","1.7","1.6",".052",NA,"-0.9","1.5","0.5","0.9","/players/b/balllo01.html"
"38","31","Mohamed Bamba","C","20","ORL","47","766","14.9",".539",".288",".259","8.8","24.0","16.3","7.4","0.8","7.0","13.7","17.8",NA,"0.3","1.4","1.7",".106",NA,"-3.3","3.1","-0.2","0.4","/players/b/bambamo01.html"
"39","32","J.J. Barea","PG","34","DAL","38","752","16.3",".495",".332",".203","1.9","11.6","6.8","47.5","1.4","0.1","14.7","28.1",NA,"0.4","0.6","1.0",".064",NA,"1.1","-2.2","-1.1","0.2","/players/b/bareajo01.html"
"40","33","Harrison Barnes","PF-SF","26","TOT","77","2533","12.8",".550",".429",".271","2.4","12.7","7.5","6.7","0.9","0.4","7.9","20.9",NA,"2.0","1.6","3.6",".068",NA,"-0.6","-1.8","-2.3","-0.2","/players/b/barneha02.html"
"41","33","Harrison Barnes","PF","26","DAL","49","1584","13.1",".538",".434",".276","2.4","11.5","7.0","6.3","1.0","0.6","7.8","23.7",NA,"0.8","1.1","1.9",".059",NA,"-0.9","-2.1","-3.0","-0.4","/players/b/barneha02.html"
"42","33","Harrison Barnes","SF","26","SAC","28","949","12.3",".578",".419",".258","2.2","14.8","8.4","7.5","0.8","0.2","8.0","16.3",NA,"1.1","0.5","1.7",".084",NA,"-0.1","-1.2","-1.2","0.2","/players/b/barneha02.html"
"43","34","Will Barton","SG","28","DEN","43","1189","11.0",".501",".426",".161","2.9","15.3","9.1","14.6","0.7","1.6","11.7","20.0",NA,"0.1","1.1","1.2",".049",NA,"-1.8","-0.5","-2.3","-0.1","/players/b/bartowi01.html"
"44","35","Keita Bates-Diop","SF","23","MIN","30","503","9.6",".489",".366",".197","3.4","14.4","8.8","4.6","1.7","2.4","8.3","14.1",NA,"0.0","0.4","0.3",".032",NA,"-3.2","0.0","-3.1","-0.1","/players/b/bateske01.html"
"45","36","Nicolas Batum","SF","30","CHO","75","2354","11.9",".581",".530",".158","3.2","14.9","8.9","14.5","1.5","1.6","16.3","13.2",NA,"2.0","1.7","3.7",".076",NA,"-0.1","0.9","0.8","1.7","/players/b/batumni01.html"
"46","37","Jerryd Bayless","PG","30","MIN","34","657","8.5",".431",".426",".122","1.8","8.4","5.0","24.6","1.3","0.3","11.7","17.6",NA,"-0.2","0.2","0.0","-0.003",NA,"-2.4","-2.7","-5.1","-0.5","/players/b/bayleje01.html"
"47","38","Aron Baynes","C","32","BOS","51","821","14.0",".567",".274",".278","11.4","19.8","15.6","9.3","0.7","3.7","13.8","15.2",NA,"1.3","1.1","2.4",".139",NA,"-1.2","1.4","0.2","0.5","/players/b/baynear01.html"
"48","39","Kent Bazemore","SG","29","ATL","67","1643","11.9",".507",".434",".253","2.3","14.6","8.3","13.5","2.5","2.2","13.6","22.0",NA,"-0.7","1.4","0.7",".021",NA,"-2.2","0.0","-2.2","-0.1","/players/b/bazemke01.html"
"49","40","Bradley Beal","SG","25","WAS","82","3028","20.8",".581",".370",".278","3.1","11.7","7.4","24.1","1.9","1.6","11.0","28.4",NA,"5.9","1.7","7.6",".120",NA,"3.9","-1.1","2.8","3.7","/players/b/bealbr01.html"
"51","41","Malik Beasley","SG","22","DEN","81","1879","14.2",".599",".550",".090","2.0","9.5","5.8","7.5","1.4","0.5","6.7","18.7",NA,"2.9","1.6","4.5",".115",NA,"1.4","-1.9","-0.5","0.7","/players/b/beaslma01.html"
"52","42","Michael Beasley","PF","30","LAL","26","277","15.9",".532",".111",".255","4.9","17.2","11.2","14.8","1.5","3.0","13.7","29.5",NA,"-0.1","0.4","0.2",".039",NA,"-3.7","-0.4","-4.0","-0.1","/players/b/beaslmi01.html"
"53","43","Marco Belinelli","SG","32","SAS","79","1815","11.9",".557",".572",".180","1.0","10.8","5.9","10.1","0.9","0.4","8.8","19.8",NA,"1.4","1.1","2.5",".065",NA,"0.3","-2.4","-2.1","0.0","/players/b/belinma01.html"
"54","44","Jordan Bell","C","24","GSW","68","788","12.9",".531",".010",".214","7.8","16.7","12.5","12.3","1.2","5.4","16.7","13.7",NA,"0.5","1.1","1.6",".096",NA,"-3.1","2.8","-0.4","0.3","/players/b/belljo01.html"
"55","45","DeAndre' Bembry","SG","24","ATL","82","1931","10.8",".508",".281",".221","2.9","16.9","9.7","14.7","2.5","1.8","17.4","17.2",NA,"-0.9","1.7","0.9",".022",NA,"-3.3","1.1","-2.2","-0.1","/players/b/bembrde01.html"
"56","46","Dragan Bender","PF","21","PHO","46","826","9.5",".521",".513",".274","4.5","20.3","12.3","9.4","1.0","2.2","14.4","13.4",NA,"0.0","0.4","0.5",".027",NA,"-3.1","-0.3","-3.4","-0.3","/players/b/bendedr01.html"
"57","47","Dairis Bertans","SG","29","NOP","12","167","2.0",".362",".723",".000","1.3","4.3","2.8","7.2","0.3","0.0","4.1","12.0",NA,"-0.2","0.0","-0.2","-0.054",NA,"-4.2","-3.5","-7.7","-0.2","/players/b/bertada02.html"
"58","48","Davis Bertans","PF","26","SAS","76","1632","13.0",".632",".746",".132","1.6","16.0","8.8","8.2","1.0","1.7","8.2","14.1",NA,"2.6","1.5","4.0",".118",NA,"1.6","-0.4","1.2","1.3","/players/b/bertada01.html"
"59","49","Patrick Beverley","PG","30","LAC","78","2137","11.8",".561",".591",".258","3.9","15.0","9.6","18.4","1.5","1.6","13.8","12.2",NA,"2.8","2.0","4.8",".108",NA,"1.2","1.2","2.3","2.3","/players/b/beverpa01.html"
