Unnamed: 0,No.,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College,TEAM,MPG
10,14,SF,6-9,190,"September 2, 1997",us,2,Duke,LAL,
11,23,SF,6-8,250,"December 30, 1984",us,15,,LAL,
12,10,SF,6-5,174,"April 9, 1995",us,R,"Hill College, New Mexico State",LAL,
13,0,PF,6-9,220,"July 24, 1995",us,1,Utah,LAL,
14,10,PG,6-1,205,"June 8, 1990",us,1,Iona College,LAL,
15,7,C,7-0,270,"January 19, 1988",us,10,Nevada,LAL,
16,31,PF,6-11,240,"July 1, 1991",us,5,Bucknell,LAL,
17,10,SF,6-8,205,"June 10, 1997",ua,R,Kansas,LAL,
18,9,PG,6-1,186,"February 22, 1986",us,12,Kentucky,LAL,
19,6,SG,6-6,230,"September 5, 1990",us,8,Cincinnati,LAL,
20,15,C,6-11,245,"April 26, 1997",de,R,Michigan,LAL,
21,19,C,6-9,228,"May 22, 1995",us,R,"Missouri, Gonzaga",LAL,
22,40,C,7-1,240,"March 18, 1997",ba,2,,LAL,
1,1,SF,6-9,230,"September 20, 1993",us,4,UCLA,MEM,
2,0,SG,6-2,180,"November 26, 1990",us,8,Texas,MEM,
3,24,SF,6-6,220,"January 22, 1996",ca,1,Oregon,MEM,
4,8,SG,6-5,200,"January 26, 1989",us,4,Providence,MEM,
5,5,SF,6-9,218,"September 21, 1995",br,4,,MEM,
6,3,PG,6-2,196,"September 14, 1995",us,R,West Virginia,MEM,
7,18,SF,6-9,225,"June 22, 1988",il,9,,MEM,
8,11,PG,6-1,175,"October 11, 1987",us,11,Ohio State,MEM,
9,22,SG,6-5,183,"February 18, 1996",us,1,Oregon,MEM,
10,33,C,7-1,255,"January 29, 1985",es,10,,MEM,
11,0,PF,6-9,227,"June 21, 1990",us,4,Alabama,MEM,
12,8,SG,6-3,210,"September 2, 1993",us,R,"Texas Tech, Arkansas",MEM,
13,5,PG,6-6,213,"October 28, 1994",us,2,Kentucky,MEM,
14,7,SG,6-6,181,"April 5, 1989",us,5,Washington,MEM,
15,13,PF,6-11,242,"September 15, 1999",us,R,Michigan State,MEM,
16,6,PG,6-3,203,"April 22, 1990",us,7,Butler,MEM,
17,6,SF,6-6,220,"March 18, 1987",us,13,,MEM,
18,55,C,6-11,230,"February 25, 1985",us,11,Florida,MEM,
19,25,SF,6-10,230,"October 25, 1988",us,7,Florida,MEM,
20,10,PF,6-10,220,"February 4, 1997",us,1,Cal,MEM,
21,7,SG,6-5,230,"September 30, 1994",us,2,Kansas,MEM,
22,20,SG,6-5,188,"December 19, 1990",us,1,Memphis,MEM,
23,17,SG,6-6,195,"May 8, 1986",us,8,LSU,MEM,
24,17,C,7-0,265,"May 6, 1992",lt,6,,MEM,
25,4,SF,6-8,210,"December 18, 1991",us,R,Texas-El Paso,MEM,
26,12,SF,6-9,205,"October 13, 1994",jp,R,George Washington,MEM,
27,2,PG,6-5,183,"April 26, 1992",us,3,Utah,MEM,
28,45,C,7-0,253,"January 17, 1990",us,6,UNC,MEM,
1,13,C,6-10,255,"July 18, 1997",us,1,Kentucky,MIA,
2,31,PF,6-10,240,"May 6, 1988",us,10,Cal,MIA,
3,7,PG,6-3,190,"May 6, 1986",si,10,,MIA,
4,2,SG,6-5,200,"November 29, 1987",us,9,UNC,MIA,
5,40,C,6-8,235,"June 9, 1980",us,15,Florida,MIA,
6,16,PF,6-8,240,"February 20, 1987",us,9,Wake Forest,MIA,
7,8,PG,6-4,190,"May 7, 1992",us,4,Fresno State,MIA,
8,5,SF,6-7,200,"February 15, 1997",us,2,UNLV,MIA,
9,0,PF,6-8,240,"August 14, 1996",us,R,Georgia,MIA,
10,17,SG,6-4,200,"July 29, 1991",us,2,Kansas State,MIA,
11,9,PF,7-0,240,"April 19, 1991",ca,5,Gonzaga,MIA,
12,0,SG,6-6,200,"September 15, 1993",us,3,Tennessee,MIA,
13,55,PF,6-8,210,"April 22, 1994",us,R,"Williams, Michigan",MIA,
14,12,PF,6-9,220,"August 21, 1996",us,R,Lincoln Memorial University,MIA,
15,3,SG,6-4,220,"January 17, 1982",us,15,Marquette,MIA,
16,11,SG,6-4,215,"December 10, 1991",us,6,Syracuse,MIA,
17,21,C,7-0,265,"June 13, 1989",us,6,Marshall,MIA,
18,20,SF,6-7,225,"March 26, 1996",us,3,Duke,MIA,
1,34,PF,6-11,242,"December 6, 1994",gr,5,,MIL,
2,6,PG,6-1,205,"December 9, 1989",us,8,Kentucky,MIL,
3,13,SG,6-5,229,"December 11, 1992",us,2,Virginia,MIL,
4,23,SG,6-6,232,"February 10, 1995",us,1,SMU,MIL,
5,7,PG,6-0,201,"May 21, 1991",us,5,Murray State,MIL,
6,50,SF,6-6,224,"January 12, 1996",us,R,Notre Dame,MIL,
7,24,SG,6-4,209,"January 6, 1993",us,3,Notre Dame,MIL,
8,8,PG,6-4,200,"September 8, 1990",au,5,Saint Mary's,MIL,
9,9,SG,6-4,203,"January 31, 1997",us,R,Villanova,MIL,
10,0,PG,6-2,189,"August 3, 1998",us,R,Duke,MIL,
11,12,PG,6-1,170,"November 1, 1990",us,4,Penn State,MIL,
12,17,C,7-0,250,"July 6, 1980",es,17,,MIL,
13,31,C,6-11,219,"December 28, 1990",us,6,UNC,MIL,
14,3,PG,6-3,188,"May 4, 1986",us,10,IUPUI,MIL,
15,77,PF,6-10,235,"May 15, 1987",tr,10,,MIL,
16,11,C,7-0,270,"April 1, 1988",us,10,Stanford,MIL,
17,7,C,7-1,221,"February 25, 1997",ss,2,,MIL,
18,22,SF,6-8,222,"August 12, 1991",us,6,Texas A&M,MIL,
19,41,PF,6-10,250,"February 11, 1991",me,4,,MIL,
20,30,SG,6-5,185,"September 19, 1995",us,1,Molloy,MIL,
21,20,PF,7-0,240,"March 2, 1986",us,10,Colorado State,MIL,
22,21,SF,6-7,213,"November 10, 1991",us,5,New Mexico,MIL,
23,5,PF,6-10,231,"February 19, 1996",us,1,Michigan,MIL,
24,35,PF,6-10,214,"September 27, 1995",us,2,UNLV,MIL,
1,31,SF,6-9,229,"January 23, 1996",us,R,Ohio State,MIN,
2,8,PG,6-3,200,"August 20, 1988",us,10,Arizona,MIN,
3,23,SG,6-8,232,"September 14, 1989",us,7,Marquette,MIN,
4,7,PG,6-0,201,"May 21, 1991",us,5,Murray State,MIN,
5,33,SF,6-9,225,"December 14, 1990",us,5,Tennessee State,MIN,
6,55,SF,6-5,216,"April 27, 1992",au,R,,MIN,
7,9,SF,6-9,237,"April 16, 1985",ss,14,Duke,MIN,
8,5,C,6-11,252,"January 18, 1990",sn,5,Louisville,MIN,
9,67,PF,6-9,232,"June 24, 1985",us,9,USC,MIN,
10,1,PG,6-2,196,"May 10, 1996",us,3,Duke,MIN,
11,7,SF,6-7,208,"July 14, 1990",us,1,"University of California, Santa Barbara",MIN,
12,20,SG,6-4,212,"September 1, 1998",ng,R,Georgia Tech,MIN,
13,13,SG,6-8,225,"February 7, 1995",us,R,Tulane,MIN,
14,25,PG,6-3,200,"October 4, 1988",us,9,Memphis,MIN,
15,36,PF,6-10,223,"April 8, 1994",hr,2,,MIN,
16,0,PG,6-2,195,"June 10, 1988",us,9,Wake Forest,MIN,
17,3,SG,6-3,227,"February 10, 1995",us,R,Rhode Island,MIN,
18,43,PF,6-8,250,"June 1, 1985",us,10,Creighton,MIN,
19,32,C,7-0,248,"November 15, 1995",us,3,Kentucky,MIN,
20,22,SF,6-8,194,"February 23, 1995",ca,4,Kansas,MIN,
21,12,SG,6-5,226,"February 6, 1990",us,1,NC State,MIN,
1,9,SG,6-4,200,"September 9, 1989",lv,R,,NOP,
2,2,SG,6-3,175,"March 7, 1991",us,5,Belmont,NOP,
3,23,C,6-10,253,"March 11, 1993",us,6,Kentucky,NOP,
4,13,PF,6-9,220,"September 13, 1996",ml,2,Kansas,NOP,
5,10,PG,6-1,170,"November 1, 1990",us,4,Penn State,NOP,
