"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","links"
"41","40","Isaac Bonga","SF","20","WAS","3","3","24.3","2.7","4.3",".615","0.3","1.0",".333","2.3","3.3",".700",".654","0.7","1.3",".500","0.7","4.3","5.0","2.7","1.3","0.3","0.3","4.0","6.3","/players/b/bongais01.html"
"43","41","Devin Booker","SG","23","PHO","3","3","37.3","8.7","19.3",".448","2.0","6.0",".333","6.7","13.3",".500",".500","4.0","5.0",".800","0.3","4.0","4.3","8.3","0.3","0.3","3.3","5.0","23.3","/players/b/bookede01.html"
"44","42","Chris Boucher","PF","27","TOR","1","0","5.0","0.0","1.0",".000","0.0","1.0",".000","0.0","0.0","",".000","2.0","2.0","1.000","1.0","1.0","2.0","0.0","0.0","2.0","1.0","1.0","2.0","/players/b/bouchch01.html"
"45","43","Ky Bowman","PG","22","GSW","2","0","8.0","1.0","4.0",".250","0.0","0.5",".000","1.0","3.5",".286",".250","0.5","0.5","1.000","0.0","0.0","0.0","0.5","0.0","0.0","0.0","0.0","2.5","/players/b/bowmaky01.html"
"46","44","Avery Bradley","SG","29","LAL","3","3","26.0","3.3","7.3",".455","1.0","4.0",".250","2.3","3.3",".700",".523","0.7","0.7","1.000","0.0","3.0","3.0","0.0","1.0","0.3","1.0","2.7","8.3","/players/b/bradlav01.html"
"47","45","Tony Bradley","C","22","UTA","2","0","5.0","1.5","1.5","1.000","0.0","0.0","","1.5","1.5","1.000","1.000","1.0","1.5",".667","0.0","2.0","2.0","0.0","0.0","0.0","0.5","0.5","4.0","/players/b/bradlto01.html"
"48","46","Jarrell Brantley","PF","23","UTA","1","0","5.0","0.0","0.0","","0.0","0.0","","0.0","0.0","","","0.0","0.0","","0.0","3.0","3.0","1.0","0.0","1.0","0.0","0.0","0.0","/players/b/brantja01.html"
"49","47","Mikal Bridges","SF","23","PHO","3","0","20.3","1.7","3.7",".455","0.3","1.7",".200","1.3","2.0",".667",".500","1.0","1.7",".600","0.3","3.3","3.7","0.3","1.0","0.0","0.3","2.0","4.7","/players/b/bridgmi01.html"
"50","48","Miles Bridges","SF","21","CHO","3","3","32.0","5.7","10.7",".531","1.7","4.0",".417","4.0","6.7",".600",".609","3.0","3.7",".818","0.7","3.7","4.3","2.3","0.0","1.3","2.7","1.7","16.0","/players/b/bridgmi02.html"
"51","49","Malcolm Brogdon","PG","27","IND","2","2","35.0","8.5","15.5",".548","3.0","5.0",".600","5.5","10.5",".524",".645","6.0","6.5",".923","0.0","2.5","2.5","10.5","0.5","1.0","1.5","2.5","26.0","/players/b/brogdma01.html"
"52","50","Dillon Brooks","SF","24","MEM","3","3","28.3","4.7","11.3",".412","2.0","4.0",".500","2.7","7.3",".364",".500","0.0","0.0","","0.3","3.0","3.3","1.3","1.3","0.7","1.7","5.3","11.3","/players/b/brookdi01.html"
"53","51","Bruce Brown","SG","23","DET","3","3","20.7","1.7","4.7",".357","0.0","1.0",".000","1.7","3.7",".455",".357","0.7","1.3",".500","0.3","2.0","2.3","1.3","0.3","0.0","2.3","3.3","4.0","/players/b/brownbr01.html"
"54","52","Jaylen Brown","SG","23","BOS","3","3","28.7","6.7","13.3",".500","1.3","4.7",".286","5.3","8.7",".615",".550","2.7","4.0",".667","0.3","6.3","6.7","2.0","0.7","1.0","1.3","3.7","17.3","/players/b/brownja02.html"
"55","53","Sterling Brown","SG","24","MIL","2","0","3.0","0.5","1.5",".333","0.0","0.5",".000","0.5","1.0",".500",".333","0.0","0.0","","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","/players/b/brownst02.html"
"56","54","Jalen Brunson","PG","23","DAL","3","2","26.7","3.3","9.0",".370","1.3","4.0",".333","2.0","5.0",".400",".444","1.0","1.7",".600","1.7","3.0","4.7","2.3","0.7","0.0","1.3","1.7","9.0","/players/b/brunsja01.html"
