"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","links"
"361","344","Moritz Wagner","C","22","WAS","3","0","17.0","4.0","6.3",".632","1.7","3.0",".556","2.3","3.3",".700",".763","1.0","1.3",".750","1.0","3.3","4.3","0.3","0.0","1.3","4.0","3.7","10.7","/players/w/wagnemo01.html"
"362","345","Kemba Walker","PG","29","BOS","3","3","33.7","7.7","19.0",".404","3.3","8.7",".385","4.3","10.3",".419",".491","3.3","4.0",".833","2.7","1.7","4.3","2.7","1.3","0.7","1.7","3.0","22.0","/players/w/walkeke02.html"
"363","346","Lonnie Walker","SG","21","SAS","1","0","5.0","1.0","1.0","1.000","0.0","0.0","","1.0","1.0","1.000","1.000","0.0","0.0","","0.0","2.0","2.0","0.0","0.0","0.0","0.0","1.0","2.0","/players/w/walkelo01.html"
"364","347","Taurean Waller-Prince","SF","25","BRK","3","3","35.0","4.3","11.0",".394","2.3","6.3",".368","2.0","4.7",".429",".500","1.7","2.7",".625","1.3","6.3","7.7","1.3","0.7","0.7","2.3","2.0","12.7","/players/p/princta02.html"
"365","348","Brad Wanamaker","PG","30","BOS","3","0","6.3","0.7","2.0",".333","0.0","0.3",".000","0.7","1.7",".400",".333","0.7","0.7","1.000","0.3","1.0","1.3","0.7","0.3","0.3","0.3","0.7","2.0","/players/w/wanambr01.html"
"366","349","T.J. Warren","SF","26","IND","2","2","35.0","5.5","13.5",".407","0.0","3.0",".000","5.5","10.5",".524",".407","0.0","1.0",".000","0.5","1.0","1.5","0.0","0.0","0.5","1.5","3.0","11.0","/players/w/warretj01.html"
"367","350","PJ Washington","PF","21","CHO","3","3","34.3","5.0","10.7",".469","3.0","5.7",".529","2.0","5.0",".400",".609","2.0","2.7",".750","1.0","5.7","6.7","0.7","1.0","1.0","3.3","2.7","15.0","/players/w/washipj01.html"
"368","351","Russell Westbrook","PG","31","HOU","2","2","33.0","8.0","17.0",".471","2.0","5.0",".400","6.0","12.0",".500",".529","8.0","10.5",".762","2.0","11.0","13.0","10.0","1.5","0.5","3.5","3.0","26.0","/players/w/westbru01.html"
"369","352","Coby White","PG","19","CHI","3","0","26.7","6.3","14.3",".442","1.7","5.3",".313","4.7","9.0",".519",".500","2.3","3.0",".778","0.0","5.0","5.0","3.3","0.7","0.0","1.3","1.7","16.7","/players/w/whiteco01.html"
"370","353","Derrick White","PG","25","SAS","2","0","21.0","3.5","6.0",".583","1.0","1.5",".667","2.5","4.5",".556",".667","1.5","2.5",".600","0.5","1.0","1.5","1.5","0.0","0.5","1.0","3.0","9.5","/players/w/whitede01.html"
