Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
ATL,24.210344827586212,31.748275862068958,20.137931034482754,22.15862068965517,5.013793103448276,5.979310344827588,48.331034482758625,38.293103448275865,38.5344827586207,66.34827586206896,52.04482758620689,55.71379310344827
BKN,23.92413793103448,24.86896551724138,24.682758620689654,22.23793103448276,6.617241379310345,7.375862068965517,47.310344827586206,35.4551724137931,38.82413793103448,62.606896551724134,54.168965517241375,51.69310344827586
BOS,21.837931034482757,29.134482758620692,18.882758620689653,21.724137931034484,6.2586206896551735,7.248275862068965,46.10344827586208,36.87586206896552,36.11724137931035,64.78275862068966,45.393103448275866,61.779310344827586
CHA,24.762068965517237,28.94482758620689,22.19310344827586,22.055172413793105,6.020689655172415,6.965517241379311,51.75172413793105,38.02068965517241,40.32758620689654,64.98965517241379,44.38275862068966,55.18620689655172
CHI,21.806896551724137,30.87586206896552,19.41724137931034,22.02758620689655,6.913793103448276,6.624137931034483,49.01724137931034,39.1896551724138,36.23103448275862,63.80344827586207,49.59655172413793,61.79655172413793
CLE,24.903448275862072,27.941379310344825,20.93103448275862,21.603448275862068,5.33448275862069,6.358620689655172,52.975862068965505,39.210344827586205,40.58275862068966,68.44137931034483,49.08275862068965,61.88620689655173
DAL,23.96206896551724,27.544827586206896,20.599999999999998,19.696551724137933,7.203448275862069,6.096551724137932,48.50344827586206,36.69655172413793,35.96896551724138,63.13793103448276,48.165517241379305,56.758620689655174
DEN,22.58275862068965,27.748275862068958,17.46206896551724,19.63103448275862,5.137931034482759,6.527586206896552,49.88620689655173,36.46896551724138,34.66551724137931,60.86551724137931,44.99310344827587,54.813793103448276
DET,25.048275862068966,23.4103448275862,18.606896551724134,19.49310344827586,4.248275862068965,6.996551724137931,49.017241379310335,36.07931034482758,37.93793103448276,63.806896551724144,44.95172413793103,56.213793103448275
GSW,24.810344827586206,27.024137931034485,20.703448275862073,20.486206896551725,6.072413793103449,5.793103448275864,44.78965517241379,35.86551724137931,36.141379310344824,62.44137931034482,42.620689655172406,53.01379310344827
