,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
45,Bradley Beal,8.0,4.8,7.2,1.9,0.2,0.8,0.564,0.354,0.405,0.6970000000000001,0.5,0.643
46,Brandon Goodwin,0.6,0.4,0.0,0.0,0.0,0.0,0.16699999999999998,0.5,0.0,0.0,0.0,0.0
47,Brandon Ingram,6.7,2.2,4.2,2.1,1.2,1.1,0.47700000000000004,0.336,0.441,0.727,0.628,0.595
48,Brandon Knight,1.7,1.5,2.9,0.2,0.0,0.1,0.295,0.299,0.39299999999999996,0.8,0.0,0.5
49,Brandon Sampson,1.5,1.9,0.7,0.3,0.0,0.1,0.5,0.375,0.4,0.4,0.0,1.0
50,Brook Lopez,2.0,6.2,1.4,1.9,1.0,0.7,0.622,0.363,0.40700000000000003,0.653,0.6,0.667
51,Bruce Brown,1.4,1.0,0.2,0.9,0.0,0.2,0.39399999999999996,0.27899999999999997,0.261,0.5660000000000001,0.0,0.5710000000000001
52,Bruno Caboclo,1.7,3.9,0.5,1.6,0.1,0.2,0.526,0.395,0.3,0.512,0.25,0.4
53,Bryn Forbes,2.2,4.8,3.9,0.1,0.0,0.1,0.462,0.45,0.423,0.5710000000000001,0.0,0.75
54,Buddy Hield,2.5,7.2,6.5,1.6,0.0,0.6,0.425,0.45799999999999996,0.397,0.626,0.0,0.564
55,C.J. Williams,0.4,0.6,1.2,0.1,0.0,0.3,0.33299999999999996,0.273,0.667,1.0,0.0,1.0
56,CJ McCollum,6.3,4.1,9.3,0.7,0.0,0.7,0.488,0.392,0.457,0.588,0.25,0.6559999999999999
57,CJ Miles,0.9,3.5,1.1,0.1,0.0,0.0,0.327,0.358,0.32899999999999996,0.375,0.0,0.0
58,Caleb Swanigan,0.1,0.1,0.1,1.0,0.3,0.3,0.33299999999999996,0.083,0.14300000000000002,0.435,0.33299999999999996,0.33299999999999996
