Names,Yahoo,Fantrax,ESPN,Average Rank,Draft Position,Conscripter
Dwight Howard,150,150,150,150,100,4
Reggie Jackson,184,142,137,154.3333333,101,5
Jonathan Isaac,74,45,105,74.66666667,102,6
Derrick White,103,84,108,98.33333333,103,7
Delon Wright,100,86,133,106.3333333,104,8
Josh Richardson,69,96,117,94,105,9
Dejounte Murray,95,90,134,106.3333333,106,10
Justise Winslow,142,119,124,128.3333333,107,11
Dwight Powell,119,112,73,101.3333333,108,12
Dario Saric,133,108,80,107,109,12
Brook Lopez,57,88,106,83.66666667,110,11
Gary Harris,102,98,147,115.6666667,111,10
Mason Plumlee,173,173,103,149.6666667,112,9
Alex Len,120,109,136,121.6666667,113,8
Fred VanVleet,94,95,191,126.6666667,114,7
Dennis Smith Jr.,158,158,140,152,115,6
De'Andre Hunter,191,191,91,157.6666667,116,5
Rudy Gay,130,136,101,122.3333333,117,4
Zach Collins,139,111,104,118,118,3
Dennis Schroder,165,165,111,147,119,2
Cam Reddish,150,150,150,150,120,1
Harrison Barnes,137,137,109,127.6666667,121,1
JaVale McGee,106,80,135,107,122,2
Rui Hachimura,160,128,139,142.3333333,123,3
Spencer Dinwiddie,145,116,122,127.6666667,124,4
Joe Harris,135,139,121,131.6666667,125,5
Will Barton,193,193,113,166.3333333,126,6
Kevon Looney,124,107,124,118.3333333,127,7
Victor Oladipo,61,146,149,118.6666667,128,8
Dewayne Dedmon,93,126,90,103,129,9
Tomas Satoransky,129,99,146,124.6666667,130,10
Evan Fournier,143,130,114,129,131,11
Goran Dragic,141,141,123,135,132,12
Tristan Thompson,155,155,112,140.6666667,133,12
Coby White,151,151,174,158.6666667,134,11
T.J. Warren,101,101,125,109,135,10
Terrence Ross,107,131,110,116,136,9
Thaddeus Young,131,104,119,118,137,8
Marcus Smart,88,97,164,116.3333333,138,7
Cedi Osman,152,117,155,141.3333333,139,6
James Johnson,201,201,127,176.3333333,140,5
Nemanja Bjelica,206,206,116,176,141,4
Harry Giles,212,212,212,212,142,3
Tyler Herro,157,157,168,160.6666667,143,2
Tim Hardaway Jr.,183,183,154,173.3333333,144,1
Bogdan Bogdanovic,114,110,142,122,145,1
Derrick Rose,149,149,179,159,146,2
Dwayne Bacon,217,217,217,217,147,3
Kevin Huerter,115,125,120,120,148,4
Jerami Grant,153,133,180,155.3333333,149,5
Jarrett Culver,190,101,118,136.3333333,150,6
Ish Smith,185,185,182,184,151,7
Nicolas Batum,109,129,129,122.3333333,152,8
Jeff Green,203,203,126,177.3333333,153,9
Jusuf Nurkic,171,171,171,171,154,10
Eric Gordon,132,132,185,149.6666667,155,11
Darius Garland,192,192,141,175,156,12
