,Rank,Names
,237,Alfonzo McKinnie
,238,Daniel Theis
,239,Gerald Green
,240,CJ Miles
,241,Kyle O'Quinn
,242,Mario Hezonja
,243,Dylan Windler
,244,Matisse Thybulle
,245,DeAndre' Bembry
,246,Richaun Holmes
,247,Stanley Johnson
,248,Shabazz Napier
,249,Chris Boucher
,250,P.J. Washington
,251,Aron Baynes
,252,Mike Muscala
,253,Jahlil Okafor
,254,Josh Hart
,255,Bruno Fernando
,256,De'Anthony Melton
,257,Dorian Finney-Smith
,258,Justin Holiday
,259,Cameron Johnson
,260,Andre Roberson
,261,Bryn Forbes
,262,Chuma Okeke
,263,Sekou Doumbouya
,264,Carsen Edwards
,265,E'Twaun Moore
,266,Romeo Langford
,267,Nassir Little
,268,Reggie Bullock
,269,Bruno Caboclo
,270,Wayne Ellington
,271,Kevin Porter Jr.
,272,Ty Jerome
,273,Admiral Schofield
,274,Bol Bol
,275,Keldon Johnson
,276,Daniel Gafford
,277,Ignas Brazdeikis
