,Rank,Names,,
,,"113. Will Barton, Den",SF,SF19
,,"114. Evan Fournier, Orl",SG,SG17
,,"115. Bobby Portis, NY",PF,PF27
,,"116. Nemanja Bjelica, Sac",PF,PF28
,,"117. Josh Richardson, Phi",SF/SG,SF20
,,"118. Jarrett Culver, Min",SG,SG18
,,"119. Thaddeus Young, Chi",PF/SF,PF29
,,"120. Kevin Huerter, Atl",SG,SG19
,,"121. Joe Harris, Bkn",SG/SF,SG20
,,"122. Spencer Dinwiddie, Bkn",PG/SG,PG24
,,"123. Goran Dragic, Mia",PG,PG25
,,"124. Justise Winslow, Mia",SF,SF21
,,"125. T.J. Warren, Ind",SF/PF,SF22
,,"126. Jeff Green, Utah",PF,PF30
,,"127. James Johnson, Mia",PF,PF31
,,"128. Collin Sexton, Cle",PG,PG26
,,"129. Nicolas Batum, Cha",SG/SF,SG21
,,"130. Kelly Olynyk, Mia",PF/C,PF32
,,"131. D.J. Augustin, Orl",PG,PG27
,,"132. Jaylen Brown, Bos",SG/SF,SG22
,,"133. Delon Wright, Dal",PG,PG28
,,"134. Dejounte Murray, SA",PG,PG29
,,"135. JaVale McGee, LAL",C,C30
,,"136. Alex Len, Atl",C,C31
,,"137. Reggie Jackson, Det",PG,PG30
,,"138. Nickeil Alexander-Walker, NO",SG,SG23
,,"139. Rui Hachimura, Wsh",PF/SF,PF33
,,"140. Dennis Smith Jr., NY",PG,PG31
,,"141. Darius Garland, Cle",PG,PG32
,,"142. Bogdan Bogdanovic, Sac",SG,SG24
,,"143. Rodions Kurucs, Bkn",PF/SF,PF34
,,"144. Aaron Holiday, Ind",PG,PG33
,,"145. Rajon Rondo, LAL",PG,PG34
,,"146. Tomas Satoransky, Chi",SG/PG,SG25
,,"147. Gary Harris, Den",SG,SG26
,,"148. PJ Tucker, Hou",SF/PF,SF23
,,"149. Victor Oladipo, Ind",SG,SG27
,,"150. Taurean Prince, Bkn",SF,SF24
,,"151. Brandon Ingram, NO",SF/SG,SF25
,,"152. Jae Crowder, Mem",SF,SF26
,,"153. Kyle Anderson, Mem",SF/PF,SF27
,,"154. Tim Hardaway Jr., Dal",SG,SG28
,,"155. Cedi Osman, Cle",SF,SF28
,,"156. JJ Redick, NO",SG,SG29
,,"157. Troy Brown Jr., Wsh",SF,SF29
,,"158. Harry Giles III, Sac",PF,PF35
,,"159. Cody Zeller, Cha",C,C32
,,"160. Jaxson Hayes, NO",C,C33
,,"161. Mo Bamba, Orl",C,C34
,,"162. Ed Davis, Utah",PF,PF36
,,"163. Kevin Knox, NY",SF,SF30
,,"164. Marcus Smart, Bos",SG,SG30
,,"165. Marvin Williams, Cha",PF,PF37
,,"166. Kentavious Caldwell-Pope, LAL",SG,SG31
,,"167. Jakob Poeltl, SA",C,C35
,,"168. Tyler Herro, Mia",SG,SG32
,,"169. Trey Lyles, SA",PF,PF38
,,"170. Bismack Biyombo, Cha",C,C36
,,"171. Danny Green, LAL",SG/SF,SG33
,,"172. Luke Kennard, Det",SG,SG34
,,"173. Willy Hernangomez Geuer, Cha",C,C37
,,"174. Coby White, Chi",PG,PG35
,,"175. Richaun Holmes, Sac",C,C38
,,"176. DeMarre Carroll, SA",SF/PF,SF31
,,"177. Taj Gibson, NY",PF,PF39
,,"178. Robin Lopez, Mil",C,C39
,,"179. Derrick Rose, Det",PG,PG36
,,"180. Jerami Grant, Den",SF/PF,SF32
,,"181. Rodney Hood, Por",SG/SF,SG35
,,"182. Ish Smith, Wsh",PG,PG37
,,"183. Wesley Matthews, Mil",SF/SG,SF33
,,"184. Mikal Bridges, Phx",SF,SF34
,,"185. Eric Gordon, Hou",SG,SG36
,,"186. Ivica Zubac, LAC",C,C40
,,"187. Malik Monk, Cha",SG,SG37
,,"188. Marcus Morris, NY",PF,PF40
,,"189. Kent Bazemore, Por",SG/SF,SG38
,,"190. Norman Powell, Tor",SG/SF,SG39
,,"191. Fred VanVleet, Tor",PG,PG38
,,"192. Rondae Hollis-Jefferson, Tor",SF/PF,SF35
,,"193. OG Anunoby, Tor",SF,SF36
,,"194. Chris Boucher, Tor",PF,PF41
,,"195. Gorgui Dieng, Min",C,C41
,,"196. T.J. McConnell, Ind",PG,PG39
,,"197. Meyers Leonard, Mia",C,C42
,,"198. Jalen Brunson, Dal",PG,PG40
,,"199. Michael Kidd-Gilchrist, Cha",SF/PF,SF37
,,"200. George Hill, Mil",PG,PG41
