,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,28.3,25.8,21.0,31.0,2.8,6.0,54.7,34.0,36.5,65.9,31.3,66.7
1,Boston Celtics,24.3,30.5,31.0,12.8,5.3,6.5,50.6,41.0,36.9,61.5,66.7,63.2
2,Brooklyn Nets,37.3,22.0,24.3,21.3,1.0,6.8,52.2,40.0,39.4,60.3,33.3,84.6
3,Charlotte Hornets,33.8,21.0,27.5,17.8,2.5,6.5,39.6,33.7,34.3,63.8,42.9,61.5
4,Chicago Bulls,33.3,23.5,21.0,14.8,6.3,5.8,46.6,37.4,34.9,54.2,61.1,47.6
5,Cleveland Cavaliers,24.0,19.7,38.3,15.7,2.7,4.0,37.7,39.6,45.3,61.1,50.0,40.0
6,Dallas Mavericks,24.5,28.0,17.5,24.0,8.5,5.0,45.2,37.3,27.1,87.5,47.1,71.4
7,Denver Nuggets,31.0,20.0,25.0,24.5,6.5,17.0,56.3,32.6,46.0,75.9,50.0,69.6
8,Detroit Pistons,28.3,20.5,15.3,17.8,13.5,4.0,51.1,33.7,31.3,49.2,50.0,44.4
9,Golden State Warriors,12.5,30.0,20.5,24.0,12.5,1.5,36.4,38.9,37.0,78.6,78.6,50.0
10,Houston Rockets,24.5,22.0,16.0,16.0,1.0,7.0,46.2,34.9,23.4,63.6,50.0,60.0
11,Indiana Pacers,23.8,20.8,16.8,15.5,5.5,7.8,45.8,37.5,29.7,50.0,19.2,50.0
12,LA Clippers,35.5,17.5,24.5,27.0,7.0,7.0,52.8,35.3,39.0,57.9,50.0,50.0
13,Los Angeles Lakers,14.0,22.5,24.0,28.0,3.0,9.0,32.4,30.8,59.5,66.7,33.3,46.7
14,Memphis Grizzlies,26.0,23.5,22.5,24.5,6.0,7.0,50.0,34.7,33.3,60.6,45.5,35.7
15,Miami Heat,27.3,29.3,17.3,23.3,4.0,4.7,50.9,43.2,34.9,70.8,46.2,58.3
16,Milwaukee Bucks,27.0,30.7,22.3,17.7,8.3,4.0,43.5,33.3,35.1,75.9,53.3,55.6
17,Minnesota Timberwolves,21.0,24.0,15.5,20.0,17.5,7.0,35.0,41.5,27.1,50.0,48.3,60.0
18,New Orleans Pelicans,31.0,21.0,12.0,27.0,12.5,8.0,60.5,34.1,24.4,52.4,42.1,53.8
19,New York Knicks,25.0,18.5,20.3,16.8,4.8,6.0,40.0,28.0,32.4,62.2,35.7,66.7
20,Oklahoma City Thunder,18.0,32.0,2.0,22.0,7.0,8.0,44.4,41.4,7.7,66.7,37.5,42.9
21,Orlando Magic,19.3,37.0,20.5,19.5,6.8,7.8,44.6,52.0,37.1,50.0,34.6,70.6
22,Phoenix Suns,23.5,31.5,22.5,26.0,7.0,11.0,38.1,43.4,33.3,75.9,70.0,64.3
23,Portland Trail Blazers,23.0,16.0,27.5,29.0,16.5,10.0,44.7,36.4,46.0,67.5,68.2,60.0
24,Sacramento Kings,19.0,18.0,36.0,25.5,13.0,7.0,29.4,38.9,46.2,58.5,52.4,100.0
25,San Antonio Spurs,27.0,31.0,30.0,14.0,12.0,4.0,62.5,52.3,45.0,66.7,71.4,80.0
26,Toronto Raptors,24.0,27.8,15.3,24.0,5.3,12.5,36.6,39.0,29.1,69.4,33.3,64.7
27,Utah Jazz,33.0,13.0,27.5,21.0,1.0,4.5,48.3,23.7,44.4,67.9,100.0,40.0
28,Washington Wizards,24.3,28.0,26.3,20.3,2.0,5.7,42.2,41.7,44.7,75.0,50.0,57.1
