,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,18.3,42.0,17.5,26.5,2.3,4.8,37.3,41.3,32.9,61.8,22.2,88.9
1,Boston Celtics,24.3,42.7,23.7,13.0,6.0,3.0,60.0,45.9,42.5,47.2,53.3,50.0
2,Brooklyn Nets,31.8,20.5,23.8,15.3,0.5,6.0,52.6,30.1,40.7,65.8,25.0,50.0
3,Charlotte Hornets,40.7,29.7,20.3,14.7,1.7,2.3,64.3,40.5,38.1,69.0,40.0,42.9
4,Cleveland Cavaliers,30.0,19.3,19.3,17.3,1.8,3.8,47.7,34.2,31.4,50.9,28.6,27.8
5,Dallas Mavericks,18.5,28.0,21.5,17.5,3.0,8.5,39.0,33.3,37.5,62.5,33.3,60.0
6,Denver Nuggets,23.5,37.5,14.0,22.0,7.5,7.5,55.3,45.6,28.6,61.8,43.8,53.8
7,Detroit Pistons,24.8,31.5,25.3,18.8,5.3,7.5,53.7,45.3,36.0,59.6,47.4,59.1
8,Golden State Warriors,21.0,57.0,35.0,21.5,9.0,8.0,76.5,53.9,52.6,72.7,53.8,75.0
9,Houston Rockets,15.5,23.5,32.0,25.0,11.0,1.0,45.8,33.3,45.5,66.7,88.9,20.0
10,Indiana Pacers,21.8,22.3,22.0,22.8,9.3,10.3,48.6,34.7,42.7,76.5,46.2,57.1
11,LA Clippers,30.0,27.0,17.0,21.5,4.5,7.5,46.3,58.8,29.4,51.5,40.0,55.6
12,Los Angeles Lakers,26.0,25.0,15.5,24.5,6.5,5.0,60.5,33.3,44.8,58.8,41.7,50.0
13,Memphis Grizzlies,27.5,23.5,28.5,20.0,4.5,7.0,47.8,34.0,45.5,66.7,40.0,42.9
14,Miami Heat,20.0,27.0,20.0,22.3,3.3,4.3,44.1,29.7,51.0,67.5,44.4,35.7
15,Milwaukee Bucks,29.5,36.3,16.0,16.8,4.0,4.8,60.5,37.0,35.7,73.2,62.5,69.2
16,Minnesota Timberwolves,26.5,26.0,18.0,28.0,15.5,8.0,60.0,26.4,50.0,77.4,57.9,35.7
17,New Orleans Pelicans,19.0,26.5,20.5,25.0,4.0,8.5,41.2,35.3,36.4,62.2,30.0,72.7
18,New York Knicks,28.0,25.7,26.0,19.3,4.0,4.0,46.8,30.6,41.6,54.1,26.7,62.5
19,Oklahoma City Thunder,29.5,21.0,21.0,33.0,3.5,9.5,44.2,33.3,41.9,57.1,42.9,52.9
20,Orlando Magic,19.0,33.3,19.7,20.0,7.3,8.3,44.9,41.6,38.8,69.7,43.5,71.4
21,Philadelphia 76ers,20.3,29.3,23.5,22.3,10.3,5.3,49.2,38.7,47.2,60.7,57.1,47.1
22,Phoenix Suns,28.0,23.0,21.5,28.0,4.0,11.5,50.0,34.7,40.4,65.9,44.4,68.8
23,Portland Trail Blazers,26.0,23.0,32.0,21.0,9.0,6.5,73.5,40.5,48.2,68.0,50.0,62.5
24,Sacramento Kings,19.0,29.0,24.0,33.5,13.5,12.5,44.4,43.8,41.7,68.2,60.0,57.1
25,San Antonio Spurs,20.0,22.5,25.0,28.0,14.5,8.5,52.8,33.3,40.7,83.3,52.6,40.0
26,Toronto Raptors,23.8,34.3,18.0,16.5,6.3,10.8,51.4,41.2,34.1,64.7,45.5,62.5
27,Utah Jazz,28.0,29.0,24.5,21.0,1.0,9.0,51.2,39.6,38.0,68.0,50.0,66.7
28,Washington Wizards,27.8,24.0,18.5,24.5,1.5,8.3,51.2,32.7,35.6,73.2,15.4,62.5
