,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,29.8,26.0,9.8,23.3,1.3,6.8,55.2,30.7,25.8,62.7,25.0,53.3
1,Boston Celtics,19.5,35.8,14.5,24.3,8.8,4.0,40.0,41.9,26.3,70.7,55.6,40.0
2,Brooklyn Nets,27.8,27.3,13.5,21.3,2.8,6.8,44.4,36.3,33.8,63.2,66.7,63.6
3,Charlotte Hornets,28.3,33.0,19.3,20.3,2.0,5.0,46.5,37.9,32.0,71.8,66.7,58.3
4,Chicago Bulls,37.3,14.0,17.0,15.0,8.7,8.0,45.3,25.5,33.8,50.0,62.5,61.1
5,Cleveland Cavaliers,32.3,27.3,22.0,14.7,4.7,5.7,60.0,33.7,41.5,53.1,45.5,70.0
6,Dallas Mavericks,30.0,35.0,18.0,16.0,5.5,6.0,66.7,44.4,39.0,71.4,41.7,75.0
7,Denver Nuggets,17.0,40.0,11.5,28.0,8.5,5.0,38.7,44.4,23.8,58.1,38.9,23.1
8,Detroit Pistons,23.5,28.3,18.3,24.8,6.0,6.3,46.4,41.2,36.1,71.9,47.6,69.2
9,Golden State Warriors,18.5,36.0,31.0,26.0,3.5,7.0,65.2,38.2,53.1,83.3,28.6,70.0
10,Houston Rockets,27.0,25.0,29.5,23.0,2.0,3.0,48.8,36.2,32.8,65.6,66.7,40.0
11,Indiana Pacers,14.8,26.3,18.3,22.3,10.5,10.0,37.9,34.6,41.3,66.1,53.1,75.0
12,LA Clippers,12.5,45.5,12.5,25.5,12.0,10.5,28.6,52.5,27.0,59.4,50.0,72.7
13,Los Angeles Lakers,25.5,23.5,20.5,17.5,6.0,10.5,45.8,32.7,39.1,57.7,55.6,81.8
14,Memphis Grizzlies,14.0,30.0,16.0,27.5,12.0,11.0,36.4,44.9,28.6,60.0,52.9,38.5
15,Miami Heat,23.7,25.3,16.0,19.7,5.0,5.3,44.9,31.0,38.8,60.5,40.0,50.0
16,Milwaukee Bucks,31.5,31.5,17.5,17.0,6.0,6.0,59.5,35.8,33.0,54.9,58.8,66.7
17,Minnesota Timberwolves,29.0,26.5,23.5,18.5,7.5,7.0,51.2,38.3,39.3,63.0,46.2,46.2
18,New Orleans Pelicans,25.5,18.5,20.0,30.0,4.0,12.0,45.2,23.2,40.5,71.4,28.6,62.5
19,Oklahoma City Thunder,26.5,38.0,21.5,28.5,9.5,9.0,58.8,49.1,47.4,69.4,63.6,57.1
20,Orlando Magic,17.5,34.3,16.8,27.3,11.8,9.5,46.0,36.3,39.1,60.3,61.8,51.6
21,Philadelphia 76ers,23.0,29.0,17.8,24.8,10.8,8.5,60.0,41.9,40.0,60.6,40.0,59.1
22,Phoenix Suns,27.0,24.5,30.0,19.0,3.0,8.0,51.4,42.9,41.9,68.0,25.0,88.9
23,Portland Trail Blazers,14.5,35.5,26.0,13.0,5.0,10.0,41.9,47.2,39.7,50.0,57.1,53.3
24,Sacramento Kings,22.5,25.5,18.0,22.5,6.5,3.0,51.6,32.7,34.1,60.0,27.3,27.3
25,San Antonio Spurs,24.0,21.5,24.0,23.0,11.0,8.0,50.0,31.4,41.1,73.3,52.6,70.0
26,Toronto Raptors,18.0,43.3,15.5,22.5,5.3,10.5,44.6,40.0,44.6,68.6,53.3,65.2
27,Utah Jazz,24.5,44.5,13.5,36.0,2.0,10.5,54.3,50.8,31.3,86.5,33.3,69.2
28,Washington Wizards,27.7,28.0,17.0,24.3,5.7,3.0,47.5,37.0,31.5,54.2,42.9,66.7
