,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,34.3,24.0,19.5,20.0,2.5,3.5,54.3,30.5,38.5,58.3,42.9,38.5
1,Boston Celtics,21.7,27.7,20.7,17.0,5.3,10.7,47.4,34.4,35.5,58.8,35.7,63.6
2,Brooklyn Nets,32.3,22.3,28.0,12.3,0.0,8.0,50.0,34.3,39.8,54.8,0.0,60.0
3,Charlotte Hornets,31.0,20.8,22.8,21.5,1.5,4.5,47.3,32.6,36.1,68.0,33.3,35.7
4,Chicago Bulls,30.7,17.7,23.7,12.7,4.3,6.7,41.7,33.9,41.9,51.4,42.9,47.6
5,Cleveland Cavaliers,28.7,20.0,23.7,17.0,0.7,1.3,50.7,27.0,44.8,65.6,25.0,28.6
6,Dallas Mavericks,19.5,29.5,12.5,23.0,6.5,14.0,51.6,37.5,22.9,63.3,55.6,73.3
7,Denver Nuggets,27.0,32.5,11.5,25.5,6.0,14.0,41.7,51.1,27.5,64.7,38.5,78.6
8,Detroit Pistons,27.0,30.0,17.5,21.0,5.8,5.0,49.4,38.0,37.5,58.0,50.0,66.7
9,Golden State Warriors,21.5,21.5,32.0,14.5,3.5,1.0,53.1,27.1,45.8,85.7,42.9,25.0
10,Houston Rockets,34.5,22.0,20.0,14.0,1.0,10.5,56.9,40.5,28.1,60.0,100.0,90.0
11,Indiana Pacers,26.0,22.5,22.8,18.0,3.5,16.3,55.4,35.0,46.1,71.1,50.0,70.3
12,LA Clippers,30.5,22.5,31.0,19.5,3.5,3.5,43.4,39.5,45.9,58.6,50.0,33.3
13,Los Angeles Lakers,24.0,24.5,17.5,19.0,4.0,9.5,39.5,37.0,36.6,75.0,50.0,69.2
14,Memphis Grizzlies,23.0,34.0,20.0,17.0,7.0,6.5,41.0,37.5,40.9,62.5,44.4,66.7
15,Miami Heat,23.0,27.5,17.8,20.5,3.0,4.8,42.6,36.9,29.6,58.2,50.0,47.4
16,Milwaukee Bucks,31.7,22.0,20.0,16.7,5.3,2.7,48.6,32.4,35.6,71.9,50.0,66.7
17,Minnesota Timberwolves,27.5,26.5,20.0,25.5,8.0,10.0,48.0,35.8,39.1,68.8,43.8,69.2
18,New Orleans Pelicans,32.0,22.0,24.0,11.5,3.0,2.5,44.1,26.3,45.7,47.8,25.0,16.7
19,New York Knicks,27.5,16.5,19.0,19.0,4.3,6.0,41.1,27.0,37.8,58.3,50.0,68.8
20,Oklahoma City Thunder,37.0,26.5,25.5,18.0,2.5,6.5,54.5,41.3,47.8,56.7,40.0,46.2
21,Philadelphia 76ers,22.5,29.0,27.0,16.3,7.5,5.3,48.0,37.7,45.7,58.8,57.9,66.7
22,Phoenix Suns,28.5,22.0,28.0,19.5,3.0,9.5,47.3,34.0,38.1,58.6,60.0,81.8
23,Portland Trail Blazers,29.5,31.0,33.0,15.5,1.0,1.0,58.5,46.8,51.9,45.8,25.0,14.3
24,Sacramento Kings,20.0,20.5,24.5,22.0,7.0,6.0,53.3,30.4,44.9,62.5,50.0,42.9
25,San Antonio Spurs,17.0,34.0,34.0,19.5,10.5,2.0,50.0,48.1,53.4,70.0,45.5,28.6
26,Toronto Raptors,21.0,42.5,10.3,12.8,3.5,8.3,34.8,45.3,25.4,47.8,41.7,51.7
27,Utah Jazz,26.0,26.0,16.0,19.0,2.0,7.0,45.5,36.0,30.0,72.7,100.0,40.0
28,Washington Wizards,22.0,34.8,12.5,20.5,7.5,7.3,43.5,46.2,29.1,76.1,75.0,70.6
