,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,18.5,34.8,11.0,26.5,1.5,3.5,30.6,40.9,25.0,56.0,28.6,44.4
1,Boston Celtics,22.8,29.8,27.0,16.3,4.5,7.3,61.9,36.9,42.6,60.9,47.1,73.7
2,Brooklyn Nets,27.7,36.0,13.7,21.0,0.0,5.7,46.0,42.9,36.2,64.1,0.0,70.0
3,Charlotte Hornets,26.7,32.3,13.3,15.7,0.0,5.3,38.2,39.8,29.3,61.3,0.0,77.8
4,Chicago Bulls,26.8,24.0,15.5,20.0,4.3,7.0,45.5,33.7,34.7,64.3,50.0,57.9
5,Cleveland Cavaliers,22.0,24.3,23.3,17.8,2.3,6.0,50.8,33.7,40.8,68.9,37.5,50.0
6,Dallas Mavericks,23.5,26.5,20.0,17.5,10.0,2.0,51.5,34.6,36.4,50.0,69.2,66.7
7,Denver Nuggets,26.5,28.5,10.5,16.0,4.0,4.0,61.5,31.7,27.8,70.0,27.3,50.0
8,Detroit Pistons,14.3,29.8,19.8,23.8,3.0,2.8,40.7,35.3,37.1,63.5,50.0,30.8
9,Golden State Warriors,16.0,34.0,28.0,29.5,7.5,6.0,48.1,41.0,44.4,68.4,60.0,62.5
10,Houston Rockets,13.5,27.0,29.5,19.5,0.0,7.5,47.4,36.0,40.4,73.9,0.0,70.0
11,LA Clippers,25.0,24.0,16.0,23.0,6.0,6.0,48.7,36.2,38.5,67.9,40.0,50.0
12,Los Angeles Lakers,26.0,16.5,10.0,19.0,3.0,11.0,46.3,31.6,27.3,69.2,60.0,60.0
13,Memphis Grizzlies,10.5,30.5,12.0,18.0,8.0,10.5,23.3,38.6,29.7,56.0,43.8,69.2
14,Miami Heat,18.7,31.0,12.0,21.3,3.7,4.0,32.7,39.7,31.3,56.6,44.4,50.0
15,Milwaukee Bucks,27.3,32.5,12.8,17.3,4.3,6.3,56.0,35.8,28.4,57.9,58.3,66.7
16,Minnesota Timberwolves,26.5,20.0,15.5,22.5,12.0,2.0,50.0,26.4,35.0,76.9,52.6,50.0
17,New Orleans Pelicans,24.0,21.5,15.0,25.5,6.0,8.0,50.0,27.3,35.1,66.7,55.6,50.0
18,New York Knicks,23.8,33.3,15.0,15.0,4.5,2.8,45.5,43.8,25.7,65.8,46.7,41.7
19,Oklahoma City Thunder,19.5,34.5,19.0,24.5,8.0,7.0,38.2,43.6,31.4,67.7,70.0,66.7
20,Orlando Magic,14.0,34.0,20.5,28.3,7.8,7.5,37.9,39.1,43.0,69.6,44.8,76.5
21,Philadelphia 76ers,19.0,28.0,14.0,18.0,9.8,7.3,42.9,37.1,31.1,61.1,56.7,62.5
22,Phoenix Suns,21.0,24.5,18.5,22.0,4.5,8.5,42.9,33.3,32.1,54.1,57.1,63.6
23,Portland Trail Blazers,20.5,30.0,16.5,18.5,5.5,5.0,45.5,43.8,38.9,60.9,55.6,41.7
24,Sacramento Kings,19.5,26.5,21.5,23.5,4.0,5.0,38.2,38.3,39.6,62.9,57.1,62.5
25,San Antonio Spurs,20.5,26.0,20.0,23.5,13.5,8.5,42.5,43.2,40.4,59.3,45.8,54.5
26,Toronto Raptors,24.0,34.7,16.0,16.7,4.0,9.0,40.6,38.5,34.4,73.3,40.0,68.8
27,Utah Jazz,19.5,28.5,10.0,26.0,1.0,6.0,38.6,37.7,29.0,77.4,50.0,62.5
28,Washington Wizards,20.0,27.5,19.5,14.8,3.5,4.8,45.9,33.0,42.5,61.5,55.6,37.5
