,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Atlanta Hawks,23.0,33.0,22.5,28.5,3.0,8.0,47.4,37.3,45.0,69.2,75.0,77.8
1,Boston Celtics,20.5,48.5,21.0,14.5,4.0,7.5,51.6,50.7,40.4,63.2,66.7,66.7
2,Brooklyn Nets,31.5,29.5,22.0,13.5,1.0,4.0,46.3,35.7,34.0,92.3,100.0,57.1
3,Charlotte Hornets,27.5,24.5,30.5,10.5,0.0,2.5,43.5,37.0,59.1,61.5,0.0,33.3
4,Chicago Bulls,24.5,23.0,23.0,17.5,5.0,12.0,48.4,39.0,57.9,59.3,50.0,71.4
5,Cleveland Cavaliers,17.0,32.5,15.0,15.0,4.0,8.5,39.5,39.7,24.0,43.5,60.0,70.0
6,Dallas Mavericks,22.8,25.8,18.8,16.8,4.0,3.0,43.8,27.1,34.1,58.3,25.0,40.0
7,Denver Nuggets,19.3,23.3,13.0,18.7,7.0,7.0,50.0,27.0,40.9,60.0,50.0,77.8
8,Detroit Pistons,25.0,33.0,16.0,14.5,2.5,2.5,52.6,36.7,34.1,48.0,25.0,16.7
9,Golden State Warriors,17.5,39.5,24.3,15.0,6.8,5.3,46.6,46.0,45.8,63.4,55.0,55.6
10,Houston Rockets,25.8,32.8,24.8,15.0,2.3,2.8,47.9,44.9,35.6,69.7,25.0,55.6
11,Indiana Pacers,27.5,26.0,17.5,15.0,5.0,6.0,64.7,35.3,41.0,66.7,83.3,50.0
12,LA Clippers,23.8,18.3,13.5,22.3,4.5,8.3,42.1,32.1,26.1,61.0,28.6,54.5
13,Los Angeles Lakers,20.3,35.0,13.0,19.7,4.7,7.7,44.2,40.7,33.3,60.5,70.0,57.9
14,Miami Heat,18.5,42.0,10.0,19.5,2.5,3.0,40.6,44.4,32.1,65.5,50.0,66.7
15,Milwaukee Bucks,31.0,23.5,12.0,20.0,2.0,3.0,59.0,29.6,36.0,69.6,40.0,100.0
16,Minnesota Timberwolves,19.5,30.3,13.0,21.3,7.3,5.0,44.1,37.1,29.1,57.4,44.8,50.0
17,New Orleans Pelicans,27.3,19.5,14.0,20.8,5.8,12.0,58.4,29.5,36.2,58.2,50.0,70.4
18,New York Knicks,19.5,25.5,12.5,12.5,5.0,3.5,35.1,37.8,24.4,47.8,62.5,40.0
19,Oklahoma City Thunder,23.0,34.7,12.7,16.0,6.3,2.7,32.3,36.1,29.3,60.5,50.0,25.0
20,Orlando Magic,19.5,33.5,11.5,14.0,9.5,11.0,48.3,33.3,23.7,47.8,53.3,60.0
21,Philadelphia 76ers,25.5,26.5,15.5,16.0,7.5,8.0,62.9,37.3,38.5,65.0,41.7,42.9
22,Phoenix Suns,17.0,31.0,18.7,15.0,6.0,3.3,47.2,39.1,44.2,72.4,72.7,36.4
23,Portland Trail Blazers,24.0,18.3,26.3,21.3,6.5,6.5,49.4,30.9,45.1,63.3,55.0,55.6
24,Sacramento Kings,17.5,30.3,11.5,17.3,3.3,7.8,37.9,42.0,24.1,55.6,27.8,59.1
25,San Antonio Spurs,21.0,24.8,22.3,16.5,12.5,6.0,47.1,38.5,37.4,58.1,44.7,58.8
26,Toronto Raptors,27.0,55.0,9.5,13.0,4.0,6.0,52.6,57.4,32.0,60.0,50.0,60.0
27,Utah Jazz,20.3,28.3,16.0,17.8,0.5,7.8,38.2,32.2,33.3,62.8,0.0,60.0
28,Washington Wizards,22.5,36.5,17.0,17.0,0.0,4.0,48.3,42.4,36.1,66.7,0.0,25.0
