,Team,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
0,Boston Celtics,19.0,31.3,29.5,19.5,5.5,5.5,40.3,36.3,47.1,63.3,53.3,38.1
1,Brooklyn Nets,34.3,26.7,28.3,18.0,2.0,3.7,49.3,35.5,46.1,55.6,100.0,80.0
2,Charlotte Hornets,30.0,33.8,23.3,19.0,1.0,3.5,51.1,44.3,43.0,61.4,66.7,30.0
3,Chicago Bulls,32.0,29.5,20.8,12.5,7.5,4.5,51.0,37.0,37.1,58.8,58.8,46.7
4,Cleveland Cavaliers,20.3,19.7,30.3,24.7,3.7,4.7,40.7,37.5,45.5,56.9,36.4,41.7
5,Dallas Mavericks,24.5,31.0,14.0,20.5,2.0,8.5,54.1,37.5,26.1,65.2,20.0,60.0
6,Denver Nuggets,21.5,36.5,10.5,29.0,9.0,5.0,52.9,39.4,27.0,67.6,41.2,50.0
7,Detroit Pistons,15.7,35.0,20.7,23.3,7.3,3.3,40.8,38.3,44.6,64.3,50.0,50.0
8,Golden State Warriors,15.0,40.5,27.0,20.5,8.0,10.0,45.8,51.7,41.7,76.0,54.5,70.0
9,Houston Rockets,21.0,39.0,18.0,21.5,2.0,3.5,46.2,44.8,29.2,71.4,66.7,60.0
10,Indiana Pacers,19.5,31.8,16.3,19.3,3.8,11.5,38.1,40.0,34.2,62.7,63.6,53.1
11,LA Clippers,29.0,24.5,17.5,25.0,3.5,6.5,51.2,34.7,34.9,63.3,50.0,50.0
12,Los Angeles Lakers,16.0,31.5,19.5,25.0,2.0,5.5,29.6,32.8,42.9,56.1,66.7,36.4
13,Memphis Grizzlies,27.5,38.0,15.5,21.5,4.0,4.5,51.4,44.1,36.8,61.5,37.5,57.1
14,Miami Heat,27.3,26.5,17.3,18.8,1.8,7.8,52.9,33.6,37.2,67.3,37.5,68.4
15,Milwaukee Bucks,28.5,31.0,23.3,23.8,5.0,9.0,57.9,35.8,38.8,64.9,46.2,63.2
16,Minnesota Timberwolves,15.5,31.5,22.0,24.0,8.5,8.0,31.7,34.9,36.4,66.7,58.3,53.8
17,New Orleans Pelicans,21.5,38.5,15.5,23.5,1.0,4.0,39.0,41.3,37.1,72.0,33.3,22.2
18,New York Knicks,25.0,22.8,31.5,17.8,7.0,5.0,40.5,33.0,47.8,68.1,52.6,64.3
19,Oklahoma City Thunder,18.5,37.5,18.0,22.5,5.0,5.0,43.3,40.0,42.1,70.0,36.4,44.4
20,Orlando Magic,25.0,30.5,24.8,25.3,6.3,9.5,56.5,35.2,49.4,65.1,52.9,65.2
21,Philadelphia 76ers,29.8,31.5,14.3,27.0,4.5,5.8,58.3,37.0,30.1,63.2,40.0,62.5
22,Phoenix Suns,22.5,36.0,16.5,22.5,5.0,4.0,51.4,42.4,28.8,64.5,50.0,57.1
23,Portland Trail Blazers,21.0,17.5,25.5,22.5,8.0,5.5,53.1,27.9,42.0,63.3,50.0,66.7
24,Sacramento Kings,25.0,34.0,15.5,32.0,11.0,5.0,50.0,43.6,27.1,91.2,69.2,50.0
25,San Antonio Spurs,34.5,39.0,21.0,8.5,10.0,1.0,65.9,46.0,40.4,70.0,46.7,50.0
26,Toronto Raptors,29.7,33.3,15.3,21.3,4.0,8.3,56.7,37.6,41.2,71.8,33.3,66.7
27,Utah Jazz,29.5,30.5,16.5,33.0,5.5,9.0,49.0,35.0,41.7,79.4,100.0,87.5
28,Washington Wizards,23.5,31.8,15.8,20.8,1.5,6.3,52.9,33.3,41.2,62.5,37.5,70.6
