,team,gp,g,freq,dfgm,dfga,dfgPercent,fg
0,Milwaukee Bucks,82.0,82.0,-9000,27.4,57.2,47.9,51.5
1,Miami Heat,82.0,82.0,-9000,26.4,53.5,49.3,51.6
2,Utah Jazz,81.0,81.0,-9000,29.9,60.3,49.6,51.6
3,Golden State Warriors,82.0,82.0,-9000,28.4,56.7,50.0,51.6
4,Indiana Pacers,82.0,82.0,-9000,27.3,53.8,50.7,51.9
5,Memphis Grizzlies,82.0,82.0,-9000,25.9,51.0,50.8,51.9
6,Toronto Raptors,82.0,82.0,-9000,29.4,58.2,50.4,51.5
7,Portland Trail Blazers,82.0,82.0,-9000,30.3,59.9,50.6,51.7
8,Los Angeles Lakers,82.0,82.0,-9000,30.0,58.7,51.1,51.9
9,Brooklyn Nets,82.0,82.0,-9000,31.8,61.9,51.3,51.8
10,Boston Celtics,82.0,82.0,-9000,28.0,54.5,51.4,51.7
11,LA Clippers,82.0,82.0,-9000,31.2,60.9,51.3,51.6
12,Oklahoma City Thunder,81.0,81.0,-9000,29.5,57.1,51.7,52.1
13,Philadelphia 76ers,81.0,81.0,-9000,31.3,61.2,51.1,51.5
14,Minnesota Timberwolves,82.0,82.0,-9000,29.4,56.5,52.0,52.0
15,Orlando Magic,80.0,80.0,-9000,29.5,57.2,51.6,51.5
16,Denver Nuggets,82.0,82.0,-9000,28.5,54.1,52.8,52.4
17,Dallas Mavericks,82.0,82.0,-9000,29.7,56.7,52.5,52.0
18,New York Knicks,81.0,81.0,-9000,29.8,56.7,52.7,52.1
19,San Antonio Spurs,82.0,82.0,-9000,29.8,56.9,52.3,51.6
20,New Orleans Pelicans,82.0,82.0,-9000,30.9,58.9,52.5,51.7
21,Detroit Pistons,82.0,82.0,-9000,30.3,57.2,52.9,51.9
22,Houston Rockets,82.0,82.0,-9000,30.1,56.5,53.4,52.0
23,Phoenix Suns,82.0,82.0,-9000,31.3,58.2,53.8,52.2
24,Sacramento Kings,82.0,82.0,-9000,30.1,55.8,53.9,52.2
25,Chicago Bulls,81.0,81.0,-9000,30.1,56.1,53.7,51.8
26,Charlotte Hornets,81.0,81.0,-9000,29.6,55.3,53.5,51.6
27,Washington Wizards,81.0,81.0,-9000,31.0,57.2,54.2,51.8
28,Atlanta Hawks,82.0,82.0,-9000,30.3,55.9,54.2,51.6
29,Cleveland Cavaliers,81.0,81.0,-9000,31.0,55.5,55.9,51.7
