,team,pace
0,Atlanta Hawks,104.56
1,New Orleans Pelicans,103.89
2,Sacramento Kings,103.88
3,Los Angeles Lakers,103.6
4,Milwaukee Bucks,103.57
5,Oklahoma City Thunder,103.38
6,LA Clippers,102.66
7,Philadelphia 76ers,102.59
8,Washington Wizards,102.24
9,Golden State Warriors,101.73
10,Brooklyn Nets,101.51
11,Phoenix Suns,101.15
12,Minnesota Timberwolves,100.88
13,Utah Jazz,100.84
14,Toronto Raptors,100.52
15,Boston Celtics,100.43
16,New York Knicks,100.16
17,Portland Trail Blazers,99.96
18,Dallas Mavericks,99.6
19,Chicago Bulls,99.3
20,Charlotte Hornets,99.18
21,San Antonio Spurs,98.89
22,Miami Heat,98.74
23,Orlando Magic,98.65
24,Indiana Pacers,98.64
25,Denver Nuggets,98.49
26,Houston Rockets,98.39
27,Detroit Pistons,97.88
28,Cleveland Cavaliers,97.38
29,Memphis Grizzlies,97.15
