Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Jerami Grant,53,54,34.0,4.0,8.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,10.0,18.4
Fred VanVleet,54,55,33.0,3.0,12.0,2.0,2.0,1.0,4.0,7.0,1.0,0.0,2.0,10.0,27.5
Andrew Wiggins,55,56,35.0,5.0,16.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,13.0,24.4
Reggie Bullock,56,57,27.0,4.0,14.0,4.0,4.0,1.0,2.0,1.0,0.0,0.0,1.0,15.0,19.1
Wilson Chandler,57,58,21.0,2.0,4.0,1.0,1.0,0.0,5.0,0.0,2.0,1.0,0.0,5.0,20.0
J.J. Redick,58,59,23.0,3.0,11.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,11.0,20.5
J.J. Barea,59,60,20.0,2.0,8.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,2.0,6.0,23.2
Lance Stephenson,60,61,7.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,10.9
Lonzo Ball,62,63,31.0,6.0,14.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,2.0,13.0,22.4
Tyson Chandler,63,64,16.0,3.0,5.0,0.0,0.0,5.0,3.0,2.0,0.0,1.0,3.0,6.0,18.6
Reggie Jackson,64,65,28.0,5.0,15.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,1.0,11.0,22.0
Tyler Johnson,65,66,26.0,3.0,6.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,8.0,14.2
Furkan Korkmaz,66,67,21.0,3.0,12.0,2.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,10.0,22.6
Dennis Jr.,67,68,27.0,5.0,10.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,5.0,14.0,15.3
Evan Turner,68,69,23.0,4.0,6.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,3.0,8.0,16.4
Kosta Koufos,69,70,4.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,10.3
JosÃ© CalderÃ³n,70,71,19.0,2.0,3.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,4.0,13.5
Yogi Ferrell,71,72,8.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
Delon Wright,72,73,14.0,3.0,8.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,12.2
Langston Galloway,73,74,13.0,2.0,7.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,6.0,15.0
Caleb Swanigan,74,75,10.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,4.0,12.9
Seth Curry,75,76,19.0,3.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,11.5
Iman Shumpert,76,77,28.0,3.0,12.0,1.0,2.0,0.0,2.0,5.0,2.0,0.0,0.0,8.0,23.9
OG Anunoby,77,78,20.0,2.0,6.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,11.6
Ryan Arcidiacono,78,79,22.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,11.6
Nerlens Noel,79,80,10.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,13.3
Bruce Brown,80,81,29.0,4.0,8.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,10.0,13.9
Hassan Whiteside,81,82,27.0,3.0,9.0,2.0,3.0,3.0,10.0,0.0,0.0,2.0,3.0,8.0,26.6
