Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
LaMarcus Aldridge,0,1,37.0,20.0,31.0,7.0,8.0,3.0,10.0,6.0,0.0,1.0,3.0,48.0,72.6
Bojan Bogdanovic,1,2,25.0,13.0,16.0,4.0,4.0,0.0,6.0,3.0,1.0,0.0,0.0,35.0,49.7
LeBron James,2,3,35.0,9.0,22.0,8.0,9.0,2.0,9.0,11.0,2.0,1.0,4.0,29.0,63.7
Lou Williams,3,4,32.0,9.0,20.0,6.0,8.0,1.0,2.0,7.0,2.0,0.0,2.0,29.0,47.1
Giannis Antetokounmpo,4,5,31.0,11.0,16.0,4.0,6.0,0.0,10.0,7.0,0.0,4.0,4.0,26.0,56.5
DeAndre Jordan,5,6,34.0,7.0,10.0,6.0,7.0,5.0,8.0,4.0,2.0,2.0,3.0,20.0,50.6
Kawhi Leonard,6,7,33.0,10.0,18.0,6.0,6.0,1.0,8.0,3.0,0.0,2.0,2.0,28.0,47.3
Nikola Jokic,7,8,29.0,8.0,16.0,2.0,2.0,3.0,8.0,8.0,1.0,4.0,1.0,19.0,58.2
Blake Griffin,8,9,33.0,6.0,14.0,9.0,10.0,1.0,5.0,8.0,0.0,0.0,1.0,24.0,42.2
Marvin III,9,10,36.0,10.0,19.0,3.0,8.0,5.0,6.0,2.0,1.0,1.0,1.0,25.0,46.2
Emmanuel Mudiay,10,11,35.0,10.0,19.0,4.0,4.0,1.0,5.0,7.0,1.0,0.0,3.0,26.0,43.7
Marc Gasol,11,12,22.0,7.0,9.0,1.0,1.0,0.0,4.0,6.0,1.0,3.0,1.0,17.0,41.8
JaVale McGee,12,13,28.0,8.0,8.0,1.0,2.0,2.0,11.0,0.0,1.0,5.0,2.0,17.0,48.6
Montrezl Harrell,13,14,28.0,8.0,12.0,8.0,9.0,2.0,2.0,1.0,0.0,1.0,2.0,24.0,31.3
Kemba Walker,14,15,35.0,3.0,17.0,7.0,7.0,3.0,5.0,13.0,4.0,0.0,1.0,15.0,55.1
Luke Kennard,15,16,27.0,8.0,12.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,20.0,31.1
Stephen Curry,16,17,35.0,9.0,19.0,3.0,3.0,2.0,7.0,3.0,1.0,0.0,4.0,26.0,40.3
Kevin Durant,17,18,35.0,5.0,6.0,3.0,4.0,0.0,5.0,11.0,1.0,0.0,2.0,14.0,37.5
Pascal Siakam,18,19,36.0,9.0,14.0,4.0,4.0,0.0,7.0,5.0,1.0,1.0,5.0,23.0,39.9
James Harden,19,20,28.0,10.0,19.0,2.0,2.0,0.0,3.0,4.0,1.0,1.0,6.0,28.0,37.6
Kevin Love,21,22,31.0,8.0,21.0,0.0,0.0,5.0,14.0,3.0,0.0,1.0,1.0,20.0,49.3
Eric Bledsoe,22,23,28.0,3.0,7.0,4.0,4.0,0.0,5.0,7.0,2.0,1.0,0.0,12.0,37.5
Kyle Kuzma,23,24,40.0,10.0,22.0,4.0,5.0,1.0,5.0,2.0,0.0,1.0,3.0,29.0,39.2
Danilo Gallinari,24,25,33.0,5.0,16.0,13.0,14.0,2.0,6.0,1.0,0.0,0.0,2.0,26.0,35.1
Myles Turner,25,26,30.0,7.0,15.0,3.0,3.0,4.0,7.0,2.0,1.0,2.0,1.0,17.0,41.2
Klay Thompson,26,27,37.0,10.0,17.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,24.0,28.4
Willy HernangÃ³mez,27,28,20.0,4.0,8.0,3.0,4.0,4.0,6.0,4.0,0.0,0.0,0.0,13.0,31.0
George Hill,28,29,21.0,7.0,8.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,17.0,20.9
Eric Gordon,29,30,21.0,6.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,18.0,29.0
Chris Paul,30,31,26.0,4.0,12.0,1.0,1.0,1.0,2.0,13.0,5.0,0.0,3.0,10.0,45.1
Frank Jackson,31,32,34.0,7.0,16.0,2.0,3.0,1.0,2.0,6.0,1.0,0.0,2.0,19.0,32.6
Bogdan Bogdanovic,32,33,29.0,6.0,12.0,2.0,4.0,2.0,0.0,4.0,1.0,1.0,1.0,17.0,30.4
DeMar DeRozan,33,34,35.0,8.0,18.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,1.0,16.0,37.5
Dwayne Bacon,34,35,33.0,7.0,14.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,23.6
Jordan Clarkson,35,36,34.0,7.0,16.0,4.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,19.0,28.6
Devonte' Graham,36,37,21.0,3.0,8.0,4.0,4.0,2.0,1.0,9.0,2.0,0.0,1.0,10.0,32.1
Danuel House,37,38,30.0,5.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,14.0,23.2
Brook Lopez,38,39,26.0,5.0,9.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,14.0,27.7
Ivica Zubac,39,40,19.0,4.0,5.0,2.0,2.0,3.0,7.0,1.0,0.0,1.0,0.0,10.0,26.5
Gordon Hayward,40,41,33.0,4.0,11.0,5.0,5.0,2.0,8.0,3.0,0.0,0.0,0.0,13.0,29.5
Collin Sexton,42,43,36.0,6.0,15.0,5.0,6.0,2.0,3.0,1.0,1.0,0.0,0.0,18.0,28.5
Andre Drummond,43,44,34.0,4.0,9.0,4.0,4.0,5.0,6.0,2.0,2.0,0.0,3.0,12.0,31.2
Miles Bridges,44,45,33.0,7.0,12.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,16.0,28.7
Willie Cauley-Stein,45,46,17.0,5.0,8.0,0.0,2.0,3.0,6.0,1.0,2.0,1.0,0.0,10.0,31.3
Larry Jr.,46,47,30.0,5.0,9.0,1.0,2.0,0.0,4.0,6.0,3.0,0.0,3.0,13.0,32.8
Domantas Sabonis,47,48,22.0,7.0,13.0,1.0,2.0,3.0,10.0,4.0,0.0,0.0,3.0,15.0,33.6
Clint Capela,48,49,23.0,3.0,4.0,2.0,2.0,5.0,12.0,1.0,0.0,0.0,2.0,8.0,27.9
Tony Snell,49,50,18.0,4.0,6.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,12.0,18.6
Draymond Green,50,51,34.0,5.0,11.0,3.0,4.0,3.0,2.0,8.0,0.0,0.0,3.0,14.0,29.0
Patrick Beverley,51,52,30.0,4.0,7.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,12.0,24.6
Anthony Davis,52,53,20.0,6.0,14.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,12.0,30.5
Patty Mills,53,54,21.0,5.0,7.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,12.0,19.2
Kenneth Faried,54,55,24.0,5.0,9.0,1.0,2.0,4.0,6.0,1.0,0.0,2.0,1.0,11.0,29.5
Khris Middleton,55,56,32.0,7.0,15.0,2.0,4.0,0.0,5.0,3.0,2.0,0.0,3.0,17.0,30.5
Norman Powell,56,57,11.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,10.0,20.5
Andrew Bogut,57,58,23.0,4.0,5.0,0.0,0.0,0.0,5.0,3.0,0.0,3.0,0.0,8.0,27.5
Kyrie Irving,58,59,33.0,5.0,17.0,0.0,0.0,0.0,2.0,12.0,2.0,1.0,1.0,11.0,39.4
Stanley Johnson,59,60,22.0,6.0,8.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,13.0,21.5
