Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Giannis Antetokounmpo,0,1,31.0,17.0,21.0,6.0,11.0,2.0,4.0,4.0,3.0,0.0,4.0,43.0,61.2
Nikola Jokic,1,2,33.0,8.0,13.0,8.0,10.0,2.0,12.0,10.0,1.0,1.0,2.0,25.0,60.8
Klay Thompson,2,3,28.0,11.0,13.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0,26.0,47.2
Kevin Durant,3,4,28.0,9.0,13.0,2.0,2.0,0.0,8.0,9.0,2.0,0.0,0.0,23.0,52.1
Thomas Bryant,4,5,31.0,12.0,19.0,1.0,1.0,3.0,11.0,4.0,0.0,2.0,0.0,26.0,54.8
James Harden,5,6,31.0,13.0,26.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,36.0,51.7
Josh Jackson,6,7,38.0,9.0,16.0,8.0,10.0,1.0,3.0,7.0,5.0,0.0,4.0,27.0,53.3
Eric Bledsoe,7,8,26.0,8.0,16.0,2.0,2.0,3.0,3.0,11.0,2.0,0.0,1.0,22.0,50.7
Zach LaVine,8,9,33.0,10.0,21.0,5.0,8.0,2.0,6.0,7.0,0.0,2.0,1.0,28.0,53.1
Julius Randle,9,10,30.0,10.0,18.0,7.0,9.0,3.0,4.0,3.0,0.0,0.0,2.0,31.0,41.9
Kemba Walker,10,11,36.0,10.0,22.0,6.0,6.0,2.0,9.0,6.0,2.0,0.0,4.0,30.0,54.2
Lauri Markkanen,11,12,40.0,10.0,19.0,5.0,5.0,2.0,8.0,2.0,0.0,0.0,2.0,30.0,43.0
Rudy Gobert,12,13,32.0,5.0,8.0,6.0,10.0,4.0,8.0,2.0,3.0,3.0,0.0,16.0,51.4
DeMarre Carroll,13,14,28.0,3.0,8.0,10.0,13.0,0.0,10.0,6.0,4.0,0.0,2.0,18.0,49.0
D'Angelo Russell,14,15,35.0,10.0,23.0,1.0,1.0,1.0,5.0,11.0,0.0,0.0,3.0,27.0,47.7
Mason Plumlee,15,16,28.0,10.0,12.0,4.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,24.0,39.2
Gerald Green,16,17,28.0,8.0,17.0,5.0,6.0,0.0,1.0,0.0,2.0,2.0,0.0,25.0,38.2
Kris Dunn,17,18,37.0,8.0,13.0,0.0,0.0,1.0,3.0,8.0,2.0,1.0,2.0,18.0,41.8
Stephen Curry,18,19,28.0,7.0,12.0,2.0,3.0,1.0,4.0,7.0,2.0,1.0,3.0,19.0,41.5
Bradley Beal,19,20,39.0,12.0,22.0,4.0,5.0,1.0,7.0,4.0,3.0,1.0,8.0,30.0,49.6
Cheick Diallo,21,22,22.0,7.0,8.0,4.0,5.0,2.0,7.0,0.0,0.0,1.0,0.0,18.0,31.8
Jamal Murray,22,23,31.0,8.0,17.0,1.0,1.0,1.0,2.0,11.0,1.0,0.0,2.0,19.0,40.1
Dwight Powell,23,24,26.0,4.0,7.0,3.0,3.0,4.0,8.0,2.0,2.0,2.0,0.0,11.0,40.4
Jeff Green,24,25,37.0,6.0,10.0,5.0,5.0,2.0,2.0,3.0,0.0,1.0,4.0,22.0,30.3
Joe Ingles,25,26,33.0,6.0,10.0,1.0,1.0,0.0,3.0,11.0,1.0,0.0,3.0,15.0,35.1
Dorian Finney-Smith,26,27,33.0,7.0,11.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,15.0,32.0
Royce O'Neale,27,28,26.0,5.0,6.0,2.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,15.0,28.4
TomÃ¡Â SatoranskÃ½,28,29,37.0,5.0,10.0,3.0,4.0,0.0,7.0,10.0,1.0,0.0,4.0,16.0,38.4
Malcolm Brogdon,29,30,27.0,7.0,14.0,1.0,2.0,0.0,2.0,5.0,2.0,0.0,1.0,18.0,32.9
Jrue Holiday,30,31,33.0,6.0,19.0,3.0,4.0,1.0,5.0,11.0,0.0,1.0,1.0,18.0,43.7
Monte Morris,31,32,27.0,8.0,14.0,1.0,2.0,0.0,5.0,5.0,1.0,0.0,0.0,18.0,34.5
Luka Doncic,32,33,34.0,5.0,20.0,7.0,9.0,1.0,9.0,11.0,1.0,0.0,3.0,19.0,47.5
