Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Thomas Bryant,107,108,19.0,3.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,14.1
Evan Turner,108,109,19.0,2.0,6.0,1.0,2.0,0.0,4.0,5.0,1.0,0.0,1.0,5.0,19.3
Semi Ojeleye,109,110,7.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.2
Kelly Olynyk,110,111,22.0,2.0,3.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,2.0,6.0,16.3
Trevor Ariza,111,112,23.0,4.0,9.0,2.0,4.0,0.0,2.0,1.0,2.0,0.0,3.0,12.0,18.9
Michael Kidd-Gilchrist,112,113,18.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,6.0,13.2
Grayson Allen,113,114,17.0,4.0,11.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,10.0,17.7
Ekpe Udoh,114,115,6.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,10.0
Brad Wanamaker,115,116,15.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,9.2
Jalen Brunson,116,117,10.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,11.1
Seth Curry,117,118,22.0,3.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,8.0,9.4
Dwayne Bacon,118,119,12.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,12.8
Shaquille Harrison,119,120,24.0,2.0,3.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,11.5
Frank Jackson,120,121,21.0,4.0,9.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,9.0,14.2
Maxi Kleber,121,122,17.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,4.0,12.6
Dorian Finney-Smith,122,123,24.0,4.0,6.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,4.0,9.0,14.3
Otto Jr.,123,124,15.0,1.0,5.0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,3.0,16.8
Dion Waiters,125,126,18.0,3.0,10.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,6.0,18.3
Andrew Wiggins,126,127,41.0,4.0,19.0,3.0,4.0,3.0,2.0,4.0,1.0,1.0,3.0,12.0,27.0
Frank Mason,127,128,3.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.5
Gary Harris,128,129,33.0,3.0,14.0,1.0,2.0,0.0,2.0,4.0,3.0,1.0,2.0,9.0,27.4
Cheick Diallo,129,130,17.0,3.0,7.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0,14.1
Brandon Sampson,130,131,11.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,7.4
Dewayne Dedmon,131,132,23.0,2.0,7.0,0.0,0.0,2.0,7.0,1.0,1.0,1.0,2.0,5.0,21.3
Luol Deng,132,133,19.0,2.0,6.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,10.8
Will Barton,133,134,26.0,3.0,9.0,2.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,8.0,16.6
Noah Vonleh,134,135,14.0,1.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,11.5
Marcus Smart,135,136,29.0,1.0,6.0,0.0,0.0,0.0,2.0,7.0,1.0,1.0,2.0,3.0,19.9
Bismack Biyombo,136,137,13.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,13.0
Al-Farouq Aminu,137,138,21.0,0.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,11.8
Enes Kanter,138,139,9.0,2.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,7.9
Guerschon Yabusele,139,140,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,4.9
Justin Anderson,140,141,3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.2
Josh Okogie,141,142,19.0,2.0,6.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,13.4
Willy HernangÃ³mez,142,143,8.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,5.4
Wade IV,143,144,6.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,5.4
Aron Baynes,144,145,8.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,4.7
Cory Joseph,146,147,26.0,0.0,7.0,1.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,1.0,16.6
Frank Kaminsky,147,148,8.0,1.0,4.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,8.1
Kyle Korver,148,149,13.0,1.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,8.1
Royce O'Neale,149,150,21.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,3.0,10.3
Georges Niang,150,151,14.0,1.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,9.1
