Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Giannis Antetokounmpo,0,1,38.0,9.0,16.0,16.0,20.0,2.0,16.0,8.0,2.0,1.0,3.0,34.0,73.6
Kevin Durant,1,2,40.0,13.0,26.0,16.0,17.0,1.0,12.0,7.0,0.0,2.0,7.0,44.0,69.1
Karl-Anthony Towns,2,3,37.0,13.0,23.0,8.0,10.0,9.0,14.0,6.0,0.0,0.0,3.0,35.0,68.6
Otto Jr.,3,4,31.0,12.0,15.0,2.0,3.0,2.0,5.0,4.0,2.0,0.0,1.0,29.0,48.4
Julius Randle,4,5,38.0,10.0,16.0,8.0,10.0,2.0,13.0,7.0,1.0,0.0,2.0,29.0,58.5
DeMar DeRozan,5,6,34.0,13.0,26.0,7.0,10.0,2.0,2.0,7.0,1.0,0.0,0.0,34.0,52.3
James Harden,6,7,43.0,14.0,30.0,7.0,12.0,1.0,3.0,13.0,1.0,0.0,9.0,40.0,58.3
Eric Gordon,7,8,38.0,8.0,16.0,7.0,9.0,0.0,2.0,0.0,3.0,0.0,1.0,28.0,38.4
Nikola Mirotic,8,9,40.0,7.0,12.0,5.0,5.0,1.0,8.0,1.0,1.0,0.0,1.0,24.0,38.3
Tristan Thompson,9,10,39.0,6.0,12.0,4.0,8.0,9.0,11.0,2.0,4.0,0.0,1.0,16.0,54.0
Marvin III,10,11,33.0,7.0,15.0,6.0,8.0,7.0,10.0,2.0,0.0,0.0,0.0,20.0,43.4
Buddy Hield,11,12,33.0,12.0,21.0,0.0,1.0,2.0,5.0,3.0,0.0,1.0,2.0,28.0,41.9
Eric Bledsoe,12,13,34.0,8.0,15.0,3.0,4.0,1.0,3.0,10.0,2.0,0.0,2.0,20.0,43.8
Zach LaVine,13,14,37.0,9.0,17.0,10.0,12.0,1.0,7.0,4.0,0.0,0.0,4.0,28.0,39.6
