Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
James Harden,0,1,29.0,12.0,19.0,5.0,6.0,0.0,3.0,10.0,1.0,0.0,2.0,36.0,55.6
Russell Westbrook,1,2,36.0,8.0,23.0,2.0,3.0,5.0,15.0,21.0,3.0,0.0,2.0,20.0,82.5
DeMarcus Cousins,2,3,29.0,12.0,17.0,2.0,4.0,5.0,8.0,5.0,2.0,2.0,5.0,28.0,58.1
DeMar DeRozan,3,4,36.0,7.0,11.0,15.0,16.0,0.0,7.0,7.0,2.0,0.0,5.0,29.0,48.9
Kent Bazemore,4,5,24.0,10.0,16.0,1.0,2.0,0.0,4.0,2.0,3.0,0.0,2.0,26.0,40.8
Kevin Durant,5,6,21.0,9.0,13.0,1.0,1.0,0.0,3.0,6.0,0.0,2.0,0.0,21.0,39.6
Alex Len,6,7,27.0,7.0,11.0,3.0,6.0,1.0,4.0,3.0,1.0,1.0,0.0,21.0,37.5
Paul George,7,8,37.0,8.0,17.0,0.0,0.0,1.0,5.0,5.0,5.0,1.0,2.0,19.0,49.7
Derrick White,8,9,30.0,10.0,12.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,4.0,23.0,34.3
Buddy Hield,9,10,32.0,8.0,16.0,0.0,0.0,1.0,6.0,5.0,0.0,1.0,0.0,20.0,38.9
Jerami Grant,10,11,35.0,8.0,15.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,0.0,22.0,32.5
Kentavious Caldwell-Pope,11,12,39.0,9.0,16.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,3.0,23.0,35.0
Jamal Murray,12,13,28.0,6.0,14.0,4.0,4.0,0.0,4.0,3.0,5.0,0.0,2.0,17.0,39.3
Bryn Forbes,13,14,29.0,7.0,11.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,19.0,23.9
Steven Adams,14,15,33.0,6.0,11.0,1.0,7.0,7.0,1.0,3.0,1.0,5.0,2.0,13.0,43.1
Stephen Curry,15,16,30.0,6.0,11.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,4.0,17.0,34.3
LaMarcus Aldridge,16,17,38.0,6.0,11.0,4.0,6.0,1.0,10.0,0.0,0.0,3.0,1.0,16.0,37.2
Patty Mills,17,18,21.0,5.0,9.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,14.0,24.2
Danuel House,18,19,28.0,7.0,14.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,19.0,23.2
Kenneth Faried,20,21,20.0,5.0,6.0,1.0,2.0,2.0,9.0,1.0,1.0,0.0,1.0,12.0,28.7
Clint Capela,21,22,25.0,3.0,5.0,1.0,1.0,3.0,10.0,1.0,2.0,0.0,0.0,7.0,30.1
Eric Gordon,22,23,26.0,6.0,12.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,19.0,22.2
Alex Caruso,23,24,29.0,5.0,9.0,4.0,6.0,0.0,2.0,7.0,2.0,0.0,5.0,15.0,28.9
Terrance Ferguson,24,25,22.0,5.0,9.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,15.0,19.4
Nemanja Bjelica,25,26,19.0,6.0,7.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,1.0,12.0,22.7
Trae Young,26,27,29.0,5.0,15.0,5.0,5.0,0.0,1.0,6.0,1.0,0.0,0.0,15.0,28.2
Kevin Huerter,27,28,26.0,6.0,11.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,13.0,24.9
Kevon Looney,28,29,12.0,5.0,7.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,10.0,27.5
