Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Anthony Davis,0,1,36.0,11.0,17.0,15.0,16.0,6.0,7.0,7.0,2.0,4.0,1.0,38.0,81.1
Joel Embiid,1,2,33.0,11.0,17.0,12.0,14.0,4.0,10.0,2.0,1.0,3.0,7.0,35.0,59.8
Kyle Kuzma,2,3,29.0,16.0,24.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,41.0,41.4
Giannis Antetokounmpo,3,4,36.0,8.0,16.0,11.0,14.0,4.0,17.0,5.0,1.0,0.0,3.0,27.0,59.7
Donovan Mitchell,4,5,37.0,12.0,21.0,5.0,6.0,0.0,4.0,7.0,1.0,0.0,2.0,33.0,49.3
James Harden,5,6,40.0,13.0,30.0,10.0,11.0,1.0,10.0,6.0,2.0,1.0,9.0,42.0,64.2
Bradley Beal,6,7,37.0,13.0,21.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,34.0,45.9
John Collins,7,8,34.0,12.0,21.0,5.0,6.0,9.0,5.0,1.0,1.0,0.0,3.0,30.0,48.3
Luka Doncic,8,9,35.0,8.0,14.0,10.0,16.0,0.0,5.0,5.0,3.0,0.0,4.0,30.0,48.5
Marc Gasol,9,10,36.0,9.0,16.0,5.0,7.0,1.0,13.0,3.0,1.0,1.0,1.0,26.0,52.3
Marcus Morris,10,11,23.0,6.0,8.0,7.0,7.0,2.0,6.0,2.0,0.0,0.0,0.0,22.0,34.6
Wendell Jr.,11,12,28.0,7.0,9.0,7.0,7.0,2.0,4.0,1.0,0.0,0.0,0.0,22.0,30.7
CJ McCollum,12,13,30.0,10.0,14.0,2.0,2.0,1.0,2.0,4.0,0.0,0.0,1.0,24.0,32.6
Domantas Sabonis,13,14,27.0,6.0,9.0,8.0,8.0,3.0,4.0,5.0,0.0,0.0,1.0,20.0,34.9
Jimmy Butler,14,15,36.0,7.0,18.0,9.0,10.0,6.0,3.0,2.0,2.0,0.0,1.0,23.0,41.8
D.J. Augustin,15,16,29.0,7.0,11.0,6.0,7.0,3.0,0.0,6.0,0.0,0.0,4.0,23.0,31.6
Jaylen Brown,16,17,28.0,7.0,12.0,6.0,8.0,0.0,7.0,3.0,1.0,1.0,0.0,22.0,40.9
Malcolm Brogdon,17,18,35.0,9.0,12.0,6.0,6.0,0.0,5.0,3.0,1.0,0.0,3.0,24.0,34.5
