Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Aron Baynes,79,80,19.0,3.0,6.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,6.0,17.3
Gary Harris,80,81,26.0,3.0,7.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,3.0,9.0,13.2
Reggie Bullock,81,82,29.0,2.0,7.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,7.0,15.6
Mason Plumlee,82,83,23.0,1.0,3.0,1.0,2.0,3.0,8.0,2.0,0.0,2.0,3.0,3.0,22.2
Jarell Martin,84,85,4.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.2
Malik Beasley,85,86,21.0,5.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,12.2
Patrick McCaw,86,87,26.0,1.0,3.0,3.0,4.0,0.0,1.0,2.0,1.0,1.0,2.0,6.0,14.2
Terrance Ferguson,87,88,21.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,13.2
Harry III,88,89,19.0,2.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,4.0,15.8
Robert III,89,90,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,9.2
Jerian Grant,90,91,22.0,1.0,5.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,14.1
Anthony Tolliver,91,92,17.0,2.0,5.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,9.6
Kentavious Caldwell-Pope,92,93,22.0,4.0,12.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,3.0,9.0,24.0
Malcolm Miller,93,94,12.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,9.0
Nemanja Bjelica,94,95,26.0,4.0,12.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,9.0,21.2
Eric Moreland,95,96,5.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0
Chris Boucher,96,97,7.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,11.6
Keita Bates-Diop,97,98,26.0,2.0,7.0,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,6.0,11.3
Kevin Love,98,99,24.0,3.0,9.0,3.0,3.0,0.0,8.0,1.0,0.0,1.0,4.0,10.0,20.1
Kyle Kuzma,99,100,30.0,3.0,11.0,1.0,4.0,1.0,7.0,3.0,1.0,0.0,1.0,7.0,23.1
Danny Green,100,101,19.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,13.8
Juan HernangÃ³mez,101,102,6.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,7.4
Troy Caupain,102,103,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Marquese Chriss,103,104,18.0,2.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,4.0,12.2
Jerami Grant,105,106,30.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,16.9
Cory Joseph,106,107,22.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,3.0,14.6
Wesley Iwundu,107,108,20.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,6.6
Josh Okogie,108,109,15.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,6.2
Melvin Frazier,109,110,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.7
Doug McDermott,110,111,13.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,5.9
Devin Harris,111,112,9.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.5
Amile Jefferson,112,113,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.2
Alec Burks,113,114,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,9.7
Cameron Reynolds,114,115,17.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,7.7
TJ Leaf,115,116,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Salah Mejri,116,117,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.7
Mike Muscala,117,118,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekpe Udoh,118,119,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Williams,119,120,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Dorian Finney-Smith,120,121,17.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.2
Corey Brewer,121,122,10.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.2
Deng Adel,122,123,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Semi Ojeleye,123,124,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moritz Wagner,125,126,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.2
David Nwaba,126,127,16.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,7.2
Courtney Lee,127,128,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Loyd,128,129,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Ingram,129,130,5.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.4
Justin Jackson,130,131,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Jared Terrell,131,132,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
Johnathan Williams,132,133,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.6
Nerlens Noel,133,134,14.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,4.3
Dante Exum,134,135,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0
