Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
DeAndre' Bembry,72,73,23.0,2.0,7.0,2.0,2.0,1.0,7.0,2.0,1.0,0.0,2.0,6.0,19.6
Tyler Johnson,73,74,21.0,3.0,7.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,10.7
Gerald Green,74,75,24.0,3.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,12.9
Bruno Caboclo,75,76,22.0,1.0,7.0,5.0,5.0,0.0,4.0,1.0,1.0,1.0,2.0,7.0,17.3
Enes Kanter,76,77,13.0,3.0,8.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,6.0,13.9
Marcus Smart,77,78,28.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,11.4
Nerlens Noel,78,79,20.0,2.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,1.0,4.0,20.4
Kent Bazemore,79,80,17.0,3.0,11.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0,1.0,8.0,18.7
Wayne Ellington,80,81,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Omari Spellman,81,82,18.0,3.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,15.4
Austin Rivers,83,84,24.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,8.5
Guerschon Yabusele,84,85,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.2
Bismack Biyombo,85,86,32.0,0.0,3.0,1.0,2.0,2.0,5.0,1.0,0.0,3.0,0.0,1.0,19.9
Patrick Patterson,86,87,16.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,6.4
Miles Bridges,87,88,11.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.8
Dion Waiters,88,89,26.0,2.0,10.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,5.0,14.8
Hamidou Diallo,89,90,2.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,7.2
Alex Len,90,91,8.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,10.8
Tyler Dorsey,91,92,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Vince Carter,92,93,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Juan HernangÃ³mez,93,94,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Brandon Goodwin,94,95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Lydon,95,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semi Ojeleye,96,97,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekpe Udoh,97,98,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Lyles,98,99,17.0,1.0,6.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,5.7
Naz Mitrou-Long,99,100,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Julian Washburn,100,101,16.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4.8
Rodney McGruder,101,102,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
Terrance Ferguson,102,103,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Gary Clark,104,105,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2
Willy HernangÃ³mez,105,106,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.2
Abdel Nader,106,107,14.0,0.0,5.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,1.0,2.0,8.5
Ãlex Abrines,107,108,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grayson Allen,108,109,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Daniel Hamilton,109,110,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2
Royce O'Neale,110,111,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7
