Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Nikola Jokic,0,1,30.0,11.0,11.0,10.0,11.0,0.0,11.0,11.0,4.0,1.0,0.0,35.0,79.7
Nikola Vucevic,1,2,37.0,10.0,15.0,3.0,3.0,4.0,9.0,12.0,2.0,0.0,2.0,27.0,64.6
Blake Griffin,2,3,34.0,12.0,23.0,4.0,6.0,4.0,8.0,5.0,0.0,1.0,0.0,33.0,57.9
Damian Lillard,3,4,30.0,9.0,15.0,8.0,8.0,0.0,2.0,9.0,0.0,0.0,0.0,29.0,44.9
James Harden,4,5,37.0,10.0,19.0,11.0,15.0,1.0,6.0,5.0,2.0,1.0,6.0,36.0,54.9
DeAndre Jordan,5,6,31.0,8.0,10.0,6.0,7.0,4.0,6.0,1.0,2.0,5.0,1.0,22.0,55.5
Chris Paul,6,7,29.0,9.0,17.0,7.0,9.0,2.0,5.0,10.0,1.0,0.0,3.0,28.0,51.4
Karl-Anthony Towns,7,8,33.0,9.0,16.0,9.0,10.0,1.0,4.0,2.0,1.0,1.0,0.0,31.0,46.0
J.J. Redick,8,9,32.0,10.0,20.0,3.0,3.0,0.0,4.0,4.0,1.0,0.0,0.0,31.0,44.8
Bradley Beal,9,10,35.0,12.0,21.0,2.0,4.0,0.0,3.0,6.0,1.0,1.0,1.0,32.0,49.6
Joel Embiid,10,11,33.0,13.0,26.0,3.0,4.0,4.0,6.0,3.0,0.0,0.0,0.0,32.0,48.5
Kemba Walker,11,12,40.0,14.0,31.0,4.0,7.0,0.0,5.0,7.0,0.0,0.0,2.0,39.0,53.5
Kyle Lowry,12,13,34.0,10.0,21.0,4.0,4.0,1.0,2.0,12.0,1.0,1.0,4.0,28.0,51.6
DeMar DeRozan,13,14,34.0,11.0,22.0,6.0,6.0,1.0,2.0,9.0,2.0,0.0,2.0,28.0,49.1
Zach LaVine,14,15,36.0,12.0,21.0,7.0,9.0,0.0,3.0,3.0,0.0,0.0,2.0,33.0,39.1
Evan Fournier,15,16,33.0,12.0,23.0,1.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,31.0,42.3
Derrick Rose,16,17,32.0,11.0,21.0,4.0,6.0,2.0,3.0,5.0,2.0,1.0,3.0,28.0,47.5
John Wall,17,18,34.0,7.0,16.0,11.0,13.0,2.0,2.0,6.0,4.0,1.0,4.0,25.0,49.8
Justin Holiday,18,19,37.0,6.0,8.0,5.0,5.0,0.0,6.0,2.0,2.0,0.0,0.0,19.0,35.2
Jamal Murray,19,20,37.0,9.0,18.0,5.0,5.0,0.0,3.0,5.0,2.0,1.0,3.0,26.0,43.1
Victor Oladipo,21,22,32.0,10.0,20.0,2.0,6.0,1.0,6.0,3.0,4.0,0.0,3.0,25.0,46.9
Jayson Tatum,22,23,35.0,8.0,15.0,6.0,6.0,1.0,13.0,0.0,2.0,0.0,4.0,24.0,42.8
Aaron Gordon,23,24,32.0,7.0,12.0,6.0,9.0,4.0,8.0,3.0,1.0,3.0,4.0,20.0,46.9
LeBron James,24,25,38.0,9.0,22.0,5.0,7.0,0.0,5.0,5.0,2.0,1.0,1.0,24.0,45.5
Rajon Rondo,25,26,29.0,6.0,8.0,0.0,0.0,1.0,6.0,10.0,2.0,0.0,2.0,13.0,40.4
Jeff Teague,26,27,34.0,6.0,14.0,8.0,8.0,0.0,2.0,9.0,1.0,0.0,4.0,22.0,36.9
Rodney McGruder,27,28,41.0,7.0,11.0,1.0,2.0,2.0,8.0,2.0,2.0,1.0,3.0,19.0,40.0
Luka Doncic,28,29,36.0,8.0,16.0,6.0,9.0,1.0,5.0,3.0,2.0,1.0,6.0,26.0,40.7
Caris LeVert,29,30,27.0,8.0,9.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,4.0,19.0,33.3
CJ McCollum,30,31,30.0,9.0,15.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,2.0,24.0,27.4
J.J. Barea,31,32,21.0,4.0,10.0,2.0,2.0,1.0,0.0,11.0,2.0,0.0,0.0,12.0,35.7
Dwight Powell,32,33,16.0,6.0,7.0,6.0,8.0,2.0,4.0,2.0,0.0,1.0,3.0,19.0,29.2
Goran Dragic,33,34,38.0,7.0,17.0,4.0,5.0,1.0,3.0,7.0,0.0,0.0,1.0,20.0,34.3
Myles Turner,34,35,26.0,4.0,7.0,5.0,6.0,1.0,7.0,2.0,1.0,1.0,0.0,14.0,32.6
Gary Harris,35,36,35.0,7.0,15.0,3.0,4.0,0.0,5.0,4.0,2.0,1.0,1.0,18.0,38.0
Joe Harris,36,37,31.0,6.0,11.0,2.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,19.0,27.9
Devin Booker,37,38,36.0,5.0,15.0,14.0,17.0,0.0,2.0,7.0,1.0,0.0,6.0,25.0,34.9
