Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Anthony Davis,0,1,39.0,16.0,32.0,11.0,11.0,6.0,12.0,2.0,2.0,1.0,3.0,44.0,74.6
Spencer Dinwiddie,1,2,30.0,11.0,18.0,13.0,14.0,0.0,2.0,5.0,1.0,0.0,4.0,39.0,47.9
Joel Embiid,2,3,38.0,12.0,18.0,7.0,8.0,3.0,14.0,6.0,1.0,1.0,6.0,33.0,62.4
Thaddeus Young,3,4,33.0,9.0,14.0,6.0,8.0,5.0,6.0,4.0,5.0,1.0,2.0,25.0,60.2
John Wall,4,5,40.0,14.0,26.0,5.0,8.0,0.0,6.0,13.0,2.0,1.0,5.0,34.0,64.7
CJ McCollum,5,6,39.0,16.0,27.0,6.0,7.0,0.0,5.0,2.0,1.0,1.0,4.0,40.0,51.0
Kyrie Irving,6,7,40.0,12.0,28.0,10.0,10.0,0.0,3.0,7.0,1.0,0.0,4.0,38.0,51.1
Kemba Walker,7,8,37.0,8.0,25.0,11.0,13.0,0.0,8.0,9.0,1.0,1.0,1.0,31.0,59.1
Ben Simmons,8,9,35.0,9.0,15.0,4.0,5.0,3.0,5.0,7.0,4.0,2.0,3.0,22.0,57.1
Kyle Lowry,9,10,38.0,9.0,18.0,3.0,4.0,0.0,5.0,12.0,3.0,0.0,2.0,23.0,54.0
Eric Bledsoe,10,11,33.0,11.0,16.0,2.0,3.0,0.0,1.0,6.0,2.0,1.0,2.0,26.0,43.2
Blake Griffin,11,12,36.0,9.0,16.0,5.0,9.0,0.0,10.0,7.0,0.0,1.0,2.0,26.0,49.5
Jeff Green,12,13,45.0,7.0,11.0,6.0,7.0,2.0,8.0,2.0,1.0,1.0,0.0,22.0,43.0
Marcus Morris,13,14,39.0,11.0,20.0,4.0,4.0,3.0,6.0,2.0,0.0,0.0,0.0,27.0,40.8
Paul George,14,15,37.0,9.0,17.0,4.0,4.0,2.0,9.0,5.0,2.0,1.0,4.0,25.0,50.7
Trae Young,15,16,35.0,11.0,19.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,2.0,24.0,43.0
Marvin III,16,17,26.0,4.0,5.0,9.0,10.0,3.0,7.0,3.0,0.0,0.0,0.0,17.0,33.5
Nemanja Bjelica,17,18,28.0,9.0,15.0,3.0,4.0,0.0,5.0,3.0,0.0,2.0,1.0,25.0,40.5
Kevin Durant,18,19,33.0,13.0,22.0,2.0,2.0,0.0,7.0,5.0,0.0,0.0,5.0,30.0,40.9
Yogi Ferrell,19,20,16.0,5.0,6.0,3.0,3.0,0.0,2.0,6.0,1.0,0.0,1.0,17.0,30.4
Luka Doncic,21,22,34.0,5.0,14.0,12.0,15.0,1.0,9.0,6.0,1.0,1.0,4.0,24.0,47.0
Jordan Clarkson,22,23,34.0,12.0,21.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,28.0,35.0
Enes Kanter,23,24,32.0,8.0,12.0,3.0,3.0,3.0,7.0,3.0,0.0,0.0,1.0,20.0,35.5
Bogdan Bogdanovic,24,25,30.0,9.0,15.0,0.0,0.0,2.0,3.0,6.0,0.0,0.0,0.0,20.0,35.0
Mike Conley,25,26,32.0,9.0,18.0,3.0,4.0,1.0,5.0,6.0,1.0,0.0,2.0,23.0,40.2
