Name,Unnamed: 0,Unnamed: 0.1,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PTS,FPTS
Wayne Selden,119,120,14.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,7.7
Myles Turner,120,121,30.0,2.0,8.0,3.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,7.0,20.8
Lonzo Ball,121,122,21.0,1.0,6.0,1.0,2.0,1.0,4.0,6.0,3.0,0.0,3.0,3.0,24.0
Rajon Rondo,122,123,26.0,1.0,7.0,0.0,0.0,2.0,4.0,10.0,0.0,0.0,3.0,2.0,21.2
Shelvin Mack,123,124,19.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,6.0,10.0
Dante Cunningham,124,125,21.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,13.3
David Nwaba,126,127,13.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,10.2
Karl-Anthony Towns,127,128,38.0,5.0,16.0,2.0,2.0,2.0,7.0,1.0,1.0,3.0,6.0,13.0,31.3
Bogdan Bogdanovic,128,129,18.0,3.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,10.9
Dennis Jr.,129,130,24.0,3.0,6.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,4.0,10.0,12.3
Hamidou Diallo,130,131,13.0,3.0,7.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,8.0,13.6
Nikola Jokic,131,132,25.0,0.0,1.0,4.0,4.0,1.0,6.0,4.0,3.0,0.0,6.0,4.0,21.4
Torrey Craig,132,133,19.0,2.0,5.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,11.6
Rodney McGruder,133,134,37.0,2.0,9.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,4.0,22.0
Damyean Dotson,134,135,17.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,9.6
Larry Jr.,135,136,22.0,3.0,6.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,2.0,6.0,15.7
Mike Conley,136,137,36.0,2.0,9.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,2.0,4.0,20.6
Jerian Grant,137,138,17.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,2.0,0.0,14.2
Nikola Mirotic,138,139,29.0,4.0,14.0,0.0,0.0,2.0,13.0,1.0,0.0,1.0,4.0,9.0,27.5
JosÃ© CalderÃ³n,139,140,12.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,11.9
Kentavious Caldwell-Pope,140,141,12.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,6.2
Wesley Iwundu,141,142,17.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0
Bam Adebayo,142,143,12.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,10.1
Alex Len,143,144,16.0,3.0,8.0,2.0,4.0,2.0,3.0,0.0,0.0,1.0,2.0,9.0,16.0
Frank Mason,144,145,7.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,2.0,10.9
LaMarcus Aldridge,145,146,35.0,2.0,14.0,2.0,2.0,4.0,12.0,0.0,0.0,2.0,1.0,6.0,30.2
Harrison Barnes,147,148,35.0,4.0,13.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,5.0,14.0,15.0
Nerlens Noel,148,149,13.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,18.5
Glenn III,149,150,27.0,2.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0
Ãlex Abrines,150,151,26.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,12.0
Cristiano FelÃ­cio,151,152,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.4
Cameron Payne,152,153,14.0,2.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,4.0,14.0
Marco Belinelli,153,154,27.0,3.0,13.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,8.0,16.5
Terrance Ferguson,154,155,21.0,1.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,7.2
Robin Lopez,155,156,10.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,8.9
Zaza Pachulia,156,157,12.0,0.0,3.0,2.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,10.0
Jakob PÃ¶ltl,157,158,12.0,1.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,7.8
Tyson Chandler,158,159,22.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,2.0,10.6
Tyreke Evans,159,160,21.0,3.0,10.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,7.0,11.4
Dillon Brooks,160,161,21.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,10.1
Wilson Chandler,161,162,15.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0
Maxi Kleber,162,163,13.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,8.6
Antonio Blakeney,163,164,16.0,3.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,6.0,13.1
Thaddeus Young,164,165,21.0,3.0,8.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,4.0,6.0,14.0
Anthony Tolliver,165,166,9.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.2
Vince Carter,167,168,10.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,6.2
Gorgui Dieng,168,169,9.0,1.0,5.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,7.8
Chandler Hutchison,169,170,15.0,0.0,4.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,9.7
Kelly Olynyk,170,171,12.0,0.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,8.3
Justin Jackson,171,172,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,4.7
Patrick Patterson,172,173,16.0,1.0,5.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,9.3
Garrett Temple,173,174,29.0,1.0,4.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,6.4
Delon Wright,174,175,13.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,5.5
J.R. Smith,175,176,32.0,5.0,17.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,13.0,19.2
Kyle Korver,176,177,21.0,2.0,8.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,7.0,8.9
Alex Poythress,177,178,8.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.2
Dewayne Dedmon,178,179,17.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,9.1
Malachi Richardson,179,180,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Derrick Jr.,180,181,8.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,6.2
Tyus Jones,181,182,12.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,4.7
Cedi Osman,182,183,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Kenrich Williams,183,184,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Rabb,184,185,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.4
Tim Frazier,185,186,8.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0
Ekpe Udoh,186,187,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
Mohamed Bamba,188,189,13.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,7.4
Kyle O'Quinn,189,190,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.7
Jarell Martin,190,191,19.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,11.4
Mario Hezonja,191,192,11.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.4
Malik Beasley,192,193,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quincy Pondexter,193,194,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2
Derrick White,194,195,15.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,6.7
Amir Johnson,195,196,5.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.4
Doug McDermott,196,197,11.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.4
Danny Green,197,198,31.0,2.0,10.0,0.0,0.0,1.0,4.0,2.0,1.0,0.0,5.0,6.0,13.0
Jonathon Simmons,198,199,19.0,0.0,5.0,3.0,4.0,1.0,3.0,0.0,1.0,0.0,3.0,3.0,7.8
Georges Niang,199,200,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Bullock,200,201,18.0,0.0,6.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,8.1
Kosta Koufos,201,202,14.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,7.8
Salah Mejri,202,203,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.6
Lance Stephenson,203,204,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2
Darren Collison,204,205,18.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4.7
Dorian Finney-Smith,205,206,18.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0
Paul Millsap,206,207,19.0,1.0,7.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,8.1
Josh Okogie,207,208,11.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.4
Ian Clark,209,210,19.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.5
Kevin Knox,210,211,9.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5
